,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1998,1227372,,,,8650737.0,1330500,,1330500,,9981237,9981237.0,,,989779,-7764086,-6.3258,-8753865,-7.1322,,,,,-8753865,-7.1322,-4.03,-4.03,2163746,2163746,797591,5659885.0,6457476,212381,,148230,6818087,3015381,,,5837393.0,,,162475.0,9015249,,15833335,,,,,830416,830416,,,,574532.0,574532.0,1149063.0,,1404948,,34975507.0,-20547120,,0.0,14428388,15833335,,15833335,-8753865,989779,,,55191,,,,5987671,,-7708895,-3223184,,,10262307.0,96474.0,7135598,,48905.0,,,,48905,,-524392,797591,1321983,-10932078
1999,1140395,,,,7746311.0,1567119,,1567119,-0.0,9313429,9313429.0,,,1304540,-6868493,-6.0229,-8173034,-7.1668,,,,,-8173034,-7.1668,-2.9,-2.9,2817151,2817151,10907135,8707515.0,19614650,532009,,71219,20217878,2876675,,,5531177.0,,,172613.0,8580464,,28798342,,,,,1323450,1323450,,,,597251.0,597251.0,,,1920701,,56879853.0,-30002212,,,26877641,28798342,,28798342,-8173034,1304540,,,20040,,,,18894428,11941.0,-6836512,-300631,,-2694476.0,,2651.0,-2992455,,19888745.0,,,,19888745,,10059778,10907135,847357,-7137143
2000,1767901,,,,8716006.0,2254821,,2254821,,10970827,10970827.0,,,1257163,-7945763,-4.4945,-9202926,-5.2056,,,,,-9202926,-5.2056,-1.87,-1.87,4936942,4936942,2048213,21925527.0,23973741,801058,208309.0,246806,25229914,2432139,,,4694860.0,,,166722.0,7293721,,32523635,,,,,1905087,1905087,,,,589687.0,589687.0,,,2494774,,68210183.0,-38181321,,,30028862,32523635,,32523635,-9202926,1257163,,,106067,,,,23324827,-513843.0,-8353539,-203639,,-13001311.0,,-0.0,-13204950,-38527.0,13110297.0,,,,13071770,,-8486719,2048213,10534932,-8557178
2001,3459447,,,,12848985.0,3101327,,3101327,3920655.0,19870967,19870967.0,1031093.0,,3850999,-10164236,-2.9381,-16411520,-4.744,455258.0,,,,-14015235,-4.0513,-2.76,-2.76,5070903,5070903,25634242,21928216.0,47562458,1995293,,220799,49778549,2789779,,,12832098.0,,,2203721.0,17825598,,67604147,,,,,2583281,2583281,,974789.0,,2560036.0,3534825.0,,,6118106,,94760930.0,-50582953,,17308064.0,61486041,67604147,-0.0,67604147,-14015235,3850999,,,-228324,,,,47195268,388575.0,-10003985,-941640,,-1009765.0,,58027.0,-1854324,-95523.0,30513157.0,,,5145687.0,35563321,,23705012,25634242,1929230,-10945625
2002,5072132,,,,21608641.0,5524942,,5524942,5655470.0,32789054,32789054.0,1020939.0,,5585033,-21209309,-4.1815,-27716922,-5.4646,,,,,-26794342,-5.2827,-4.32,-4.32,6203324,6203324,20504450,17666868.0,38171318,520376,,201221,38892916,3744068,,,8450264.0,2129398.0,,0.0,14323730,,53216645,,135247.0,,,4663345,4798592,,319702.0,,2749769.0,3069471.0,,302815.0,7868063,,96075180.0,-79614049,,28887452.0,45348583,53216645,,53216645,-26794342,5585033,,,2836323,,,,34094324,216288.0,-18156698,-1950764,,,,4901545.0,2950781,-158461.0,250657.0,,,9696211.0,9788407,,-5417510,20504450,25921960,-20107462
2003,2732099,,,,23705879.0,6784786,,6784786,6887237.0,37377902,37377902.0,1140390.0,,6801724,-27274763,-9.9831,-34645803,-12.681,,,,,-34076487,-12.4726,-5.09,-5.09,6695358,6695358,35555846,3649288.0,39205134,390248,,500868,40096250,4097240,,,4764318.0,1543193.0,,228512.0,10633263,,50729513,,416448.0,,,4117007,4533455,602340.0,,,2211678.0,2814018.0,,338566.0,7347473,,138110328.0,-142483575,,47755287.0,43382041,50729513,,50729513,-34076487,6801724,,,-1959742,,,,35562795,2270397.0,-26964108,-787727,,,17810845.0,-0.0,17023117,-185914.0,20133860.0,,,655995.0,20603940,,10662949,35555846,24892896,-27751835
2004,12169619,,,,22316491.0,7756832,,7756832,5477765.0,35551089,35551089.0,750852.0,,1200167,-26849712,-2.2063,-27634845,-2.2708,-2167555.0,,,,-28049879,-2.3049,-3.66,-3.66,7704402,7704402,24993575,,24993575,1799814,,1940813,28734202,3431473,,,7193959.0,575149.0,,1163231.0,12363813,,41098015,,775875.0,,,10109020,10884894,869451.0,7443156.0,,32397673.0,40710280.0,,219327.0,51595174,,149930887.0,-177122547,,16694501.0,-10497159,41098015,0.0,41098015,-28049879,1200167,,,1636386,,,,17849308,15230675.0,-9982651,-7148961,,,3936552.0,-7129711.0,-4207603,-680747.0,631160.0,,,878686.0,829100,,-13361154,24993575,38354729,-17131612
2005,13291042,,,,8763227.0,3784925,,3784925,1830594.0,14378746,14378746.0,439392.0,,2397486,-5273548,-0.3968,-5957897,-0.4483,-1713137.0,-7671034.0,-0.5772,388324.0,-8059359,-0.6064,-1.03,-1.03,7713357,7713357,10481335,,10481335,259964,,180093,10921391,953306,,,6620303.0,,,0.0,7573609,,18495001,1664717.0,49590.0,373514.0,,494691,2208998,,,,34779581.0,34779581.0,69559161.0,135092.0,36988578,,155190216.0,-191395073,,17711279.0,-18493578,18495001,,18495001,-8059359,2397486,,,-3092457,,,,8712394,-5819159.0,-14573489,-45015,,,,424873.0,379858,-1195343.0,,,,,-1195343,,-15388974,10481335,25870308,-14618504
2006,13604332,6186097.0,7418234.0,0.5453,4525637.0,3853303,,3853303,720514.0,9099454,15285551.0,316809.0,,599774,18677995,1.3729,-1681219,-0.1236,19759441.0,18078222.0,1.3289,-2306.0,18080528,1.329,2.36,2.36,7713357,7715830,4865089,,4865089,604550,,65245,5534884,499745,,,,,,,499745,,6034629,1512974.0,83095.0,,,4218064,5814133,,,,64969.0,64969.0,129938.0,148064.0,5879102,,154631020.0,-167525910,,13050418.0,155528,6034629,-0.0,6034629,18080528,599774,,,-552783,,,,-279248,-20750679.0,-2623161,-94871,,,,14147.0,-80724,-99550.0,,,,-2775045.0,-2874595,,-5578478,4865089,10443567,-2718032
2007,15923349,,15923349.0,1.0,8429989.0,4442618,,4442618,411652.0,13284259,13284259.0,1022703.0,,411652,-2170919,-0.1363,2639090,0.1657,-5221661.0,-2582571.0,-0.1622,,-2582571,-0.1622,-0.56,-0.56,4769653,4769653,21130482,,21130482,1837967,215106.0,110223,23293778,1540500,,,,,,,1540500,,24834277,,76429.0,,4652142.0,1735444,6464015,,,,,,,76429.0,6464015,,197230405.0,-199763426,,20903284.0,18370263,24834277,,24834277,-2582571,411652,,380280.0,-1596783,-1126402.0,-215106.0,-45353.0,-176494,667733.0,-2719689,-1363943,,,,1229.0,-1362714,-97844.0,15063264.0,,,5326231.0,20291651,-805059.0,15404189,21130482,5726293,-4083632
