,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2012,21549000,20864000,685000,0.0318,,4635000,,4635000.0,8771000,13406000,34270000,4419000,1928000,10000,12550000,0.5824,-12721000,-0.5903,23503000,10782000,0.5003,3106000,7506000,0.3483,0.3,0.29,25335000,25558000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7506000,10000,,3432000.0,-16966000,-246000,,3633000.0,-44000,3246000,-2772000,,,-1268000,3135000,,1867000,,,,,-88439000,-88439000,,-89344000,179846000,269190000,-2772000
2013,20422000,23322000,-2900000,-0.142,,4996000,,4996000.0,6624000,11620000,34942000,5865000,1908000,17000,41848000,2.0492,-14520000,-0.711,54906000,40386000,1.9776,13157000,26766000,1.3106,1.06,1.05,25335000,25558000,199536000.0,,199536000.0,54927000.0,,,254463000.0,,3254000.0,,3254000.0,140031000.0,,190972000.0,334257000.0,,588720000.0,10001000.0,,22465000.0,,69060000.0,79061000.0,,,,14284000.0,14284000.0,,,93345000.0,,,,11604000.0,495375000.0,495375000.0,588720000.0,,588720000.0,26766000,17000,,510000.0,27638000,-1295000,,-4345000.0,13000,-14125000,40806000,,,-4683000,34085000,,29402000,,,,,-50518000,-50518000,,19690000,199536000,179846000,40806000
2014,21029000,22298000,-1269000,-0.0603,,1884000,,1884000.0,6771000,8655000,30953000,4416000,1376000,14000,5165000,0.2456,-9924000,-0.4719,9542000,-382000,-0.0182,775000,3000000,0.1427,0.12,0.12,25335000,25558000,285530000.0,,285530000.0,78954000.0,,,364484000.0,,3254000.0,,3254000.0,147183000.0,,239773000.0,390210000.0,,754694000.0,43397000.0,,16363000.0,,48139000.0,91536000.0,,,,80231000.0,80231000.0,,,171767000.0,,,,9178000.0,573927000.0,582927000.0,754694000.0,,754694000.0,3000000,14000,,1921000.0,-44910000,1106000,,33396000.0,-53000,-18667000,-58642000,,,-1428000,5267000,,3839000,-10000000.0,,,,150797000,140797000,,85994000,285530000,199536000,-58642000
2015,22842000,26343000,-3501000,-0.1533,,4622000,,4622000.0,6189000,10811000,37154000,4720000,1260000,13000,-523000,-0.0229,-14312000,-0.6266,11736000,-2576000,-0.1128,-1685000,-111000,-0.0049,-0.0,-0.0,24887000,25170000,205750000.0,,205750000.0,68863000.0,,,274613000.0,,3254000.0,,3254000.0,223727000.0,,335154000.0,562135000.0,,836748000.0,50648000.0,,5669000.0,,18061000.0,68709000.0,,,,16490000.0,16490000.0,,,85199000.0,,25000.0,2072000.0,-1857000.0,748956000.0,749196000.0,834395000.0,2353000.0,836748000.0,-111000,13000,-6450000.0,4931000.0,-48149000,-949000,,44516000.0,-172000,2416000,-47350000,,,-43271000,1537000,,-41734000,-16000000.0,,-44000.0,,25325000,9281000,,-79780000,205750000,285530000,-47350000
2016,31227000,30968000,259000,0.0083,,4057000,,4057000.0,8434000,12491000,43459000,12669000,590000,17000,14701000,0.4708,-12232000,-0.3917,26577000,14345000,0.4594,3876000,10218000,0.3272,0.41,0.41,24870000,25175000,314093000.0,,314093000.0,23895000.0,,,337988000.0,,3422000.0,,3422000.0,261043000.0,,350150000.0,614615000.0,,952603000.0,2396000.0,,6978000.0,,61971000.0,64367000.0,,,,14214000.0,14214000.0,,,78581000.0,,25000.0,7327000.0,1317000.0,865353000.0,874022000.0,952603000.0,,952603000.0,10218000,17000,-1378000.0,2464000.0,18340000,-4907000,,-48231000.0,292000,-23073000,6588000,,,-5107000,992000,,-4115000,,,-41630000.0,-2504000.0,150006000,105872000,,108343000,314093000,205750000,6588000
2017,26915000,30644000,-3729000,-0.1385,,6592000,,6592000.0,10065000,16657000,47301000,10501000,227000,16000,6660000,0.2474,-20386000,-0.7574,26650000,6264000,0.2327,-2420000,8837000,0.3283,0.37,0.37,23792000,23923000,293112000.0,,293112000.0,56486000.0,,,349598000.0,,3422000.0,,3422000.0,291505000.0,,362390000.0,657317000.0,,1006915000.0,13281000.0,,5484000.0,,23526000.0,36807000.0,,,,51961000.0,51961000.0,,,88768000.0,,25000.0,13800000.0,6712000.0,897610000.0,918147000.0,1006915000.0,,1006915000.0,8837000,16000,-3168000.0,5879000.0,-73503000,4045000,,10885000.0,-2417000,-5681000,-67620000,,,-4900000,1166000,-15000000.0,-18734000,,,-21221000.0,-4768000.0,91362000,65373000,,-20981000,293112000,314093000,-67620000
2018,22779000,26607000,-3828000,-0.168,,26607000,,,9652000,9652000,36259000,13384000,262000,21000,-69294000,-3.042,-13480000,-0.5918,-55381000,-68861000,-3.023,-11478000,-58099000,-2.5506,-2.52,-2.52,23070000,23070000,409564000.0,,409564000.0,30332000.0,,,439896000.0,,3519000.0,,3519000.0,260864000.0,9422000.0,240732000.0,514537000.0,,954433000.0,5511000.0,,3577000.0,,23300000.0,28811000.0,,,,59374000.0,59374000.0,,,88185000.0,,25000.0,-39889000.0,,906112000.0,866248000.0,954433000.0,,954433000.0,-58099000,21000,-12825000.0,72000.0,62662000,1345000,,-7770000.0,-97000,85149000,76980000,,,-12350000,2086000,15000000.0,4736000,,,-7011000.0,-4666000.0,46366000,34689000,,116452000,409764000,293312000,76980000
2019,31265000,32184000,-919000,-0.0294,,5713000,,5713000.0,9126000,14839000,47023000,13407000,217000,30000,51561000,1.6492,-15758000,-0.504,70666000,54908000,1.7562,12126000,39188000,1.2534,1.73,1.73,22534000,22534000,348588000.0,,348588000.0,38101000.0,,,386689000.0,,3519000.0,,3519000.0,605040000.0,2004000.0,13654000.0,624217000.0,,1010906000.0,14889000.0,,3676000.0,,31778000.0,46667000.0,,,,66804000.0,66804000.0,,,113471000.0,6000.0,19000.0,-701000.0,,897108000.0,896432000.0,1009903000.0,1003000.0,1010906000.0,39188000,30000,7360000.0,,-48190000,-5188000,,9378000.0,3611000,-42722000,-44334000,-6518000.0,589000.0,-4989000,5860000,,-5058000,-2126000.0,,-4135000.0,-4513000.0,-810000,-11584000,,-60976000,348788000,409764000,-50852000
2020,18983000,19436000,-453000,-0.0239,,3101000,,3101000.0,8915000,12016000,31452000,8675000,180000,52000,28422000,1.4972,-12469000,-0.6569,42352000,29883000,1.5742,9374000,18816000,0.9912,0.84,0.84,22369000,22369000,39509000.0,344453000.0,383962000.0,36766000.0,,175040000.0,595768000.0,,3519000.0,,3519000.0,544486000.0,2207000.0,28565000.0,578777000.0,,1174545000.0,6496000.0,,9746000.0,,42261000.0,48757000.0,,,,224399000.0,224399000.0,,,273156000.0,,25000.0,13649000.0,,885264000.0,898938000.0,1172094000.0,2451000.0,1174545000.0,18816000,52000,-209000.0,,-299830000,2236000,,-8393000.0,-4206000,1802000,-279369000,-11084000.0,,-2749000,14761000,-175000000.0,-174072000,,,-7441000.0,-6716000.0,165106000,150949000,,-302492000,39509000,342001000,-290453000
2021,20924000,24457000,-3533000,-0.1688,,8426000,,8426000.0,7117000,15543000,40000000,12109000,310000,379000,77597000,3.7085,-19076000,-0.9117,100415000,81339000,3.8874,17705000,59203000,2.8294,2.65,2.65,22369000,22369000,319048000.0,60996000.0,380044000.0,60887000.0,,175109000.0,616040000.0,,3519000.0,,3519000.0,562095000.0,8575000.0,13107000.0,587296000.0,636089000.0,1203336000.0,9339000.0,,8575000.0,,38010000.0,47349000.0,,,8575000.0,9610000.0,18185000.0,,,65534000.0,,25000.0,68435000.0,,868661000.0,937102000.0,1002636000.0,200700000.0,1203336000.0,59203000,379000,8742000.0,1163000.0,261310000,-916000,,,568691000,-92603000,238194000,,,-8738000,74023000,,65285000,,,-7644000.0,-4417000.0,-2333000,-14394000,,289085000,328594000,39509000,238194000
