,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2006,2984,,2984.0,1.0,,18173.0,,18173.0,632.0,18805,18805,,,632.0,-15189,-5.0901,-15821,-5.3019,,,,,-15821,-5.3019,-2.02,-2.02,7830,7830,10897.0,,10897.0,,,,10897,1031.0,,,,,,,1031.0,,11928,10797.0,,,,,10797,,,,,,,,10797,,2584,-136564,,,1131,11928,,11928,-15821,632.0,,,4750,,,4750.0,100,,-10439.0,-194.0,,,,,-194.0,,,,,,,,-10633.0,10897.0,21530.0,-10633.0
2007,1693,,1693.0,1.0,,20878.0,,20878.0,696.0,21574,21574,,,696.0,-19185,-11.332,-19881,-11.7431,,,,,-19881,-11.7431,-3.3,-3.3,7830,7830,226.0,,226.0,,,,226,335.0,,,,,,,335.0,,561,19311.0,,,,,19311,,,,,,,,19311,,2584,-156445,,135111.0,-18750,561,,561,-19881,696.0,,,-486,-486.0,,,-19085,,-19671.0,,,,,,,,,,,9000.0,9000.0,,-10671.0,226.0,10897.0,-19671.0
2008,1517,,1517.0,1.0,,15856.0,,15856.0,335.0,16191,16191,,,335.0,-14339,-9.4522,-14674,-9.673,,,,,-14674,-9.673,-1.87,-1.87,7830,7830,82.0,,82.0,,,,82,,,,,,,,,,82,11566.0,,,,21940.0,33506,,,,,,,,33506,,2584,-171119,,135111.0,-33424,82,,82,-14674,335.0,,,7052,,,7052.0,-33424,,-7287.0,,,,,,,,,,,7143.0,7143.0,,-144.0,82.0,226.0,-7287.0
2009,2055,,2055.0,1.0,,19026.0,,19026.0,,19026,19026,,,,-16971,-8.2584,-16971,-8.2584,,,,,-16971,-8.2584,-2.17,-2.17,7830,7830,257.0,,257.0,,,,257,,,,,,,,,,257,20055.0,,,,25597.0,45652,,,,,,,,45652,,2604,-188090,,140091.0,-45395,257,,257,-16971,,,,8489,,,8489.0,-45395,,-8482.0,,,,,,,,5000.0,,,3657.0,8657.0,,175.0,257.0,82.0,-8482.0
2010,6861,,6861.0,1.0,,20354.0,,20354.0,,20354,20354,,,,-13493,-1.9666,-13493,-1.9666,,-13493.0,-1.9666,,-13493,-1.9666,-1.7,-1.7,7951,7951,2990.0,,2990.0,,,,2990,1700.0,,,,,,,1700.0,,4690,31304.0,,,,24774.0,56078,,,,,,,,56078,,2634,-201583,,147561.0,-51388,4690,,4690,-13493,,,,8259,,,11249.0,-53088,,-5234.0,-1700.0,,,,,-1700.0,,7500.0,,,-823.0,6677.0,,,,257.0,-6934.0
2011,19747,2526.0,17221.0,0.8721,,,,,29046.0,29046,31572,,,340.0,-11485,-0.5816,-11825,-0.5988,,-11825.0,-0.5988,,-11825,-0.5988,-1.48,-1.48,7981,7981,,,,,2454.0,,2454,1360.0,,,,,,,1360.0,,3814,20874.0,,,,46153.0,67027,,,,,,,,67027,,2634,-213408,,147561.0,-63213,3814,,3814,-11825,340.0,,,-9894,,536.0,-10430.0,-64573,,-21379.0,,,,,,,,,,,21379.0,21379.0,,,,,-21379.0
2012,19177,1870.0,17307.0,0.9025,,35328.0,,35328.0,340.0,35668,37538,,1902.0,340.0,-18021,-0.9397,-18361,-0.9574,-1902.0,-20263.0,-1.0566,,-20263,-1.0566,-2.54,-2.54,7981,7981,447.0,,447.0,,1168.0,,1615,1020.0,,,,,,,1020.0,,2635,33355.0,,,,52756.0,86111,,,,,,,,86111,,2634,-233671,,147561.0,-83476,2635,,2635,-20263,340.0,,,13767,,1286.0,,-84496,5290.0,-866.0,,,,,,,,,,,1313.0,1313.0,,,447.0,,-866.0
2013,13783,1628.0,12155.0,0.8819,,89779.0,,89779.0,869.0,90648,92276,,1735.0,869.0,-77624,-5.6319,-78493,-5.6949,-1735.0,-80228.0,-5.8208,,-80228,-5.8208,-6.6,-6.6,12237,12237,1479152.0,,1479152.0,285.0,15712.0,2875.0,1498024,60063.0,,,,,,,60063.0,,1558087,7504.0,,,,,7504,,,,,,,,7504,,7993,-313899,-3645.0,1860134.0,1550583,1558087,,1558087,-80228,869.0,,,-43555,-285.0,-14544.0,-25851.0,1490520,8024.0,-114890.0,-59912.0,,,,,-59912.0,,1714287.0,,,-60780.0,1653507.0,,1478705.0,1479152.0,447.0,-174802.0
2014,11412,,11412.0,1.0,,280951.0,,280951.0,6814.0,287765,287765,,28658.0,6814.0,-342568,-30.0182,-306353,-26.8448,-28362.0,-334715.0,-29.3301,,-378040,-33.1265,-16.5,-16.5,24335,24335,970294.0,,970294.0,537.0,,,970831,375229.0,,,,,,11500.0,386729.0,,1357560,9.0,66190.0,,,22726.0,88925,,,,1450.0,1450.0,,,90375,20.0,8041,-691939,-6814.0,1957877.0,1267185,1357560,,1357560,-378040,6814.0,,,19547,,,,1450,85098.0,-266581.0,-327155.0,,-30000.0,,-11500.0,-368655.0,,12000.0,,,117000.0,129000.0,,-506236.0,969094.0,1475330.0,-593736.0
2015,58253,,58253.0,1.0,,307765.0,,307765.0,13739.0,321504,321504,,76913.0,13739.0,-252287,-4.3309,-281039,-4.8245,-75520.0,-356559.0,-6.1209,,-342939,-5.8871,-13.8,-13.8,25098,25098,573572.0,,573572.0,125.0,,214.0,573911,463817.0,,,,,,,463817.0,,1037728,1330.0,,,,2.0,1332,,,,1350.0,1350.0,,,2682,20.0,1514,-1034878,-20553.0,2088943.0,1035046,1037728,,1037728,-342939,13739.0,,,-21710,-125.0,,-21397.0,-100,64113.0,-286797.0,-103516.0,,,,-6200.0,-109716.0,,,,,991.0,991.0,,-395522.0,573572.0,969094.0,-390313.0
