,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,21578364,21578364,157330000,,157330000,,,,157330000,,,,,129087000,,1112000,130199000,,287529000,,,,,14112000,14112000,,,,,,,,14112000,,146000,-1424000,-592000,275247000,273377000,287489000,40000,287529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,27425000.0,,27425000.0,1.0,,9327000.0,,9327000.0,,9327000.0,9327000.0,3158000.0,555000.0,,18529000.0,0.6756,17543000.0,0.6397,454000.0,17997000.0,0.6562,243000.0,17731000.0,0.6465,0.82,0.8,21578364,21999925,66245000,,66245000,69929000.0,,,136174000,,,,,248750000,,5533000,254283000,,390457000,2214000.0,20000000.0,,,20964000,43178000,14000000.0,,,,14000000.0,,,57178000,,174000,1152000,936000,330777000,333039000,390217000,240000,390457000,17731000.0,,,,1445000.0,,,,-515000.0,-9319000.0,9857000.0,,-110652000.0,,4121000.0,-72129000.0,-178660000.0,-60500000.0,55613000.0,,-10095000.0,92698000.0,77716000.0,2000.0,-91085000.0,66245000.0,157330000.0,9857000.0
2011,65469000.0,,65469000.0,1.0,,,,17050000.0,,17050000.0,17050000.0,,3011000.0,,46462000.0,0.7097,48419000.0,0.7396,-3864000.0,44555000.0,0.6806,1191000.0,42260000.0,0.6455,1.0,1.0,42130024,42513462,3872000,,3872000,232619000.0,,,236491000,,,,,443500000,,47528000,491028000,,727519000,,69000000.0,,,31184000,100184000,13845000.0,,,,13845000.0,,,114029000,,326000,5510000,-2330000,599470000,602976000,717005000,10514000,727519000,42260000.0,,,204000.0,1531000.0,,,,-1802000.0,-19578000.0,24417000.0,,-178946000.0,-187311000.0,,-176000.0,-366433000.0,-24000000.0,272261000.0,-8654000.0,-32894000.0,72933000.0,279646000.0,-3000.0,-62373000.0,3872000.0,66245000.0,24417000.0
2012,107155000.0,21959000.0,85196000.0,0.7951,,6346000.0,,25328000.0,-18982000.0,6346000.0,28305000.0,36445000.0,8248000.0,,72424000.0,0.6759,70602000.0,0.6589,-232000.0,70370000.0,0.6567,2165000.0,62011000.0,0.5787,0.91,0.9,52677707,52703514,170199000,32055000.0,202254000,333569000.0,,,535823000,,,,,877081000,,22663000,899744000,,1435567000,,108167000.0,,,-63797000,44370000,108167000.0,,,,108167000.0,,,152537000,101000.0,531000,-5167000,5184000,1222682000,1223331000,1375868000,59699000,1435567000,62011000.0,,,7330000.0,430000.0,,,,-2914000.0,1255000.0,71026000.0,,-528347000.0,,78243000.0,24127000.0,-425977000.0,-211702000.0,371002000.0,,-57693000.0,419671000.0,521278000.0,,166327000.0,170199000.0,3872000.0,71026000.0
2013,180239000.0,29688000.0,150551000.0,0.8353,,7548000.0,,33811000.0,-25953000.0,7858000.0,37546000.0,77475000.0,18838000.0,310000.0,121572000.0,0.6745,122048000.0,0.6771,4534000.0,126582000.0,0.7023,659000.0,101765000.0,0.5646,0.82,0.82,97042226,97042226,43167000,30834000.0,74001000,1036931000.0,,7898000.0,1118830000,112468000.0,,7773000.0,7773000.0,1369529000,2391000.0,17561000,1509722000,,2628552000,,138500000.0,,,-80282000,58218000,616107000.0,,,,616107000.0,,,674325000,101000.0,765000,-20423000,2593000,1701274000,1684310000,2358635000,269917000,2628552000,101765000.0,310000.0,,4283000.0,4134000.0,,,,-6917000.0,14797000.0,125289000.0,-122750000.0,-672338000.0,,180941000.0,-821823000.0,-1313220000.0,-409060000.0,475190000.0,,-111336000.0,1105944000.0,1060738000.0,161000.0,-127032000.0,43167000.0,170199000.0,125289000.0
2014,300649000.0,54507000.0,246142000.0,0.8187,,11408000.0,,54541000.0,-33956000.0,20585000.0,75092000.0,204361000.0,48365000.0,9177000.0,178292000.0,0.593,156096000.0,0.5192,1216000.0,157312000.0,0.5232,-2399000.0,123149000.0,0.4096,0.69,0.69,141782412,141789743,141936000,,141936000,2143917000.0,,84666000.0,2370519000,1643997000.0,20000000.0,106060000.0,126060000.0,1646977000,6713000.0,77582000,3501329000,,5871848000,,164000000.0,,,23892000,187892000,2748163000.0,,,,2748163000.0,,,2936055000,135000.0,1096000,-68003000,-28491000,2512743000,2417480000,5353535000,518313000,5871848000,123149000.0,9177000.0,,11265000.0,17454000.0,,,,-12431000.0,-28286000.0,132759000.0,-1618069000.0,-458881000.0,-1653198000.0,28000000.0,827377000.0,-2874771000.0,-1304075000.0,717870000.0,,-155319000.0,3583288000.0,2841764000.0,-983000.0,98769000.0,141936000.0,43167000.0,132759000.0
2015,841976000.0,156144000.0,685832000.0,0.8146,,122744000.0,,137806000.0,163390000.0,301196000.0,457340000.0,417305000.0,133094000.0,140977000.0,414755000.0,0.4926,201462000.0,0.2393,45278000.0,246740000.0,0.293,-9296000.0,149980000.0,0.1781,0.65,0.65,162658125,162658125,185854000,,185854000,4137394000.0,,283530000.0,4606778000,48463000.0,678267000.0,325513000.0,1003780000.0,924465000,,3455824000,5432532000,,10039310000,67572000.0,,,,136749000,204321000,4178803000.0,41671000.0,44951000.0,153324000.0,4418749000.0,,,4623070000,250000.0,1123000,-131278000,-18422000,2995243000,2846916000,7469986000,2569324000,10039310000,149980000.0,140977000.0,,13714000.0,15149000.0,,,,-4372000.0,53306000.0,373126000.0,-1433679000.0,-412386000.0,-1120034000.0,,1507285000.0,-1458814000.0,-2066688000.0,,,-203803000.0,3331165000.0,1060674000.0,-6480000.0,43918000.0,185854000.0,141936000.0,373126000.0
2016,938232000.0,142127000.0,796105000.0,0.8485,,163537000.0,,163537000.0,206687000.0,370224000.0,512351000.0,385851000.0,170083000.0,171682000.0,461865000.0,0.4923,203476000.0,0.2169,92032000.0,295508000.0,0.315,4782000.0,115318000.0,0.1229,0.41,0.4,164569446,164569446,376005000,1076441000.0,1452446000,3529987000.0,,-701253000.0,4281180000,45455000.0,680127000.0,299979000.0,980106000.0,1076441000,,3377809000,5479811000,,9760991000,82593000.0,,,29023000.0,97848000,209464000,3715618000.0,29023000.0,41462000.0,148498000.0,3934601000.0,,,4144065000,250000.0,1140000,-246064000,-32109000,3050582000,2773799000,6917864000,2843127000,9760991000,115318000.0,171682000.0,,13638000.0,42989000.0,,,,5174000.0,64734000.0,408361000.0,-501221000.0,-113174000.0,-91017000.0,,957224000.0,251812000.0,-2187823000.0,,-19998000.0,-229544000.0,1971408000.0,-465957000.0,-4065000.0,190151000.0,376005000.0,185854000.0,408361000.0
2017,2796734000.0,1181106000.0,1615628000.0,0.5777,,460341000.0,,460341000.0,637520000.0,1097861000.0,2278967000.0,416625000.0,574822000.0,617779000.0,896311000.0,0.3205,-288123000.0,-0.103,111556000.0,-176567000.0,-0.0631,-98399000.0,-197891000.0,-0.0708,-0.37,-0.37,532600000,532600000,921822000,,921822000,3470867000.0,,1377027000.0,5769716000,53632000.0,1534561000.0,852872000.0,2387433000.0,2039181000,,14535688000,19015934000,,24785650000,98857000.0,,77060000.0,42457000.0,669607000,810921000,10827810000.0,42457000.0,166276000.0,588794000.0,11625337000.0,,,12436258000,1606966000.0,5433000,-1165412000,47316000,7913622000,8407925000,20844183000,3941467000,24785650000,-197891000.0,617779000.0,-138459000.0,154429000.0,-95783000.0,,,,-88511000.0,209542000.0,549617000.0,-1325122000.0,666287000.0,-480000.0,272959000.0,1717898000.0,1331542000.0,-6162695000.0,,-935962000.0,-612338000.0,6364490000.0,-1346505000.0,11163000.0,545817000.0,921822000.0,376005000.0,549617000.0
2018,2665276000.0,1301079000.0,1364197000.0,0.5118,,334219000.0,,334219000.0,615440000.0,949659000.0,2250738000.0,215367000.0,595551000.0,572406000.0,588569000.0,0.2208,414538000.0,0.1555,-969392000.0,-554854000.0,-0.2082,-59781000.0,-519607000.0,-0.195,-1.28,-1.28,496993000,496993000,461912000,,461912000,1933224000.0,,1406663000.0,3801799000,47932000.0,1534561000.0,540264000.0,2074825000.0,2543169000,,13747524000,18413450000,,22215249000,94316000.0,,64440000.0,,366812000,461128000,10039957000.0,40156000.0,93174000.0,434464000.0,10607751000.0,,,11068879000,1407495000.0,4841000,-2018302000,13999000,7598019000,7006052000,18074931000,4140318000,22215249000,-519607000.0,572406000.0,-69430000.0,41876000.0,-40593000.0,,,,-40123000.0,522313000.0,506965000.0,,258291000.0,-34314000.0,43625000.0,-535815000.0,-268213000.0,-2720990000.0,,-543143000.0,-431221000.0,2906950000.0,-788404000.0,-11538000.0,-561190000.0,832730000.0,1393920000.0,506965000.0
