,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2001,,,,,,,,,21251.0,21251,21251,347.0,,,-21251,-inf,-21251,-inf,347,-20904.0,-inf,,-20904,-inf,-0.02,-0.02,845931,845931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20904,,,,5497,,,,,,-15407,,,,,,,,16000.0,,,,16000,,593,8732,8139,-15407
2002,,,,,,,,,15584.0,15584,15584,299.0,,,-15584,-inf,-15584,-inf,299,-15285.0,-inf,,-15285,-inf,-0.0,-0.0,9367259,9367259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15285,,,,-497,,,,,,-15782,,,,,,,,25000.0,,,,25000,,9218,17950,8732,-15782
2003,473596.0,249412.0,224184.0,0.4734,,,,2841541.0,,2841541,3090953,,,38083.0,-2579163,-5.4459,-2617357,-5.5266,111,,,,-2617246,-5.5263,-0.29,-0.29,9075358,9075358,275850.0,,275850.0,347686.0,13387.0,7655.0,644578.0,160887.0,,,,,,,160887.0,,805465.0,203737.0,,,258500.0,48300.0,510537.0,,,,,,,,510537.0,,10792.0,-3121965.0,,,294928.0,805465.0,,805465.0,-2617246,38083.0,,,3740,,73805.0,,134041.0,1450000.0,-1125423,-85324.0,,,,,-85324.0,,1585000.0,,,-129500.0,1455500,,244753,275850,31097,-1210747
2004,179393.0,126489.0,52904.0,0.2949,,,,,1916134.0,1916134,2042623,,,36507.0,-1826380,-10.1809,-1863230,-10.3863,343,,,,-1862887,-10.3844,-0.21,-0.21,8668750,8668750,798.0,,798.0,,18242.0,,19040.0,125546.0,,,,,,,125546.0,,144586.0,429380.0,60000.0,,,30363.0,519743.0,,,,,,,,519743.0,,8551.0,-4984852.0,-79408.0,4680552.0,-375157.0,144586.0,,144586.0,-1862887,36507.0,,,299692,,-4856.0,,-500703.0,968002.0,-558686,-1166.0,,,,,-1166.0,,224800.0,,,60000.0,284800,,-275052,798,275850,-559852
2005,48093.0,29198.0,18895.0,0.3929,,,,,12244209.0,12244209,12273407,,46850.0,40389.0,-12873123,-267.6714,-12225314,-254.2015,-688198,,,,-12960362,-269.4854,-1.14,-1.14,11393897,11393897,2522269.0,,2522269.0,24993.0,17190.0,19900.0,2584352.0,105231.0,,,,,,,105231.0,,2689583.0,52287.0,,,,199115.0,251402.0,,,,,,,,251402.0,,16451.0,-17945214.0,-119797.0,20486741.0,2438181.0,2689583.0,,2689583.0,-12960362,40389.0,,,-96495,,1052.0,,2332950.0,12368013.0,-648455,-20074.0,,,,,-20074.0,,3250000.0,,,-60000.0,3190000,,2521471,2522269,798,-668529
2006,641419.0,240770.0,400649.0,0.6246,,,,,1132348.0,1132348,1373118,67520.0,40000.0,48214.0,-550835,-0.8588,-731699,-1.1408,65130,,,,-639049,-0.9963,-0.04,-0.04,16540181,16540181,429483.0,,429483.0,319217.0,137485.0,19625.0,905810.0,166832.0,,3000000.0,3000000.0,,,,3166832.0,,4072642.0,64510.0,500000.0,,,40000.0,604510.0,1500000.0,,,,1500000.0,,,2104510.0,,16761.0,-16872343.0,-168011.0,18991725.0,1968132.0,4072642.0,,4072642.0,-639049,48214.0,,,-493686,,-120295.0,,301300.0,99195.0,-985326,-1109815.0,,,,-9645.0,-1119460.0,,12000.0,,,,12000,,-2092786,429483,2522269,-2095141
2007,396141.0,73756.0,322385.0,0.8138,,,,,553171.0,553171,626927,23765.0,66033.0,46332.0,-892034,-2.2518,-605453,-1.5284,-731344,,,,-1004399,-2.5355,-0.06,-0.06,17413414,17413414,319126.0,,319126.0,55403.0,146654.0,19639.0,540822.0,119894.0,,3000000.0,3000000.0,,,-1.0,3119893.0,,3660715.0,10649.0,500000.0,,,61666.0,572315.0,1000000.0,,,,1000000.0,,,1572315.0,,17761.0,-17876742.0,-202271.0,20149652.0,2088400.0,3660715.0,,3660715.0,-1004399,46332.0,,,197773,,-9169.0,,-31493.0,378059.0,-382235,-7584.0,,,,29462.0,21878.0,,750000.0,,,-500000.0,250000,,-110357,319126,429483,-389819
2008,268435.0,48057.0,220378.0,0.821,,418491.0,425879.0,844370.0,38343.0,882713,930770,12074.0,52541.0,38343.0,-1433086,-5.3387,-662335,-2.4674,-821167,,,,-1523970,-5.6772,-0.08,-0.08,18273536,18273536,106240.0,,106240.0,10136.0,161019.0,11584.0,288979.0,98091.0,,2175302.0,2175302.0,,,,2273393.0,,2562372.0,8204.0,500000.0,,,48797.0,557001.0,500000.0,,,-2.0,499998.0,,,1056999.0,,19088.0,-19400712.0,-240614.0,21127611.0,1505373.0,2562372.0,,2562372.0,-1523970,38343.0,,47074.0,19259,40884.0,-14365.0,-2446.0,-268022.0,824696.0,-594598,-16541.0,,,,-12157.0,-12157.0,-500000.0,560070.0,,,333799.0,393869,,-212886,106240,319126,-611139
2009,404335.0,68531.0,335804.0,0.8305,,944762.0,790189.0,1734951.0,623263.0,2358214,2426745,291.0,39016.0,623263.0,-1391516,-3.4415,-2022410,-5.0018,7340,,,,-2053795,-5.0794,-0.1,-0.1,20349980,20349980,52129.0,,52129.0,244354.0,168381.0,20129.0,484993.0,130365.0,,1596644.0,1596644.0,,,,1727009.0,,2212002.0,155447.0,500000.0,,,542806.0,1198253.0,50000.0,,,,50000.0,,,1248253.0,,21638.0,-21454507.0,-280264.0,22676882.0,963749.0,2212002.0,,2212002.0,-2053795,623263.0,,,90859,-211463.0,-7362.0,76574.0,-713260.0,359860.0,-979813,-10999.0,,,,-4299.0,-4299.0,-500000.0,1150000.0,,,280000.0,930000,,-54111,52129,106240,-990812
2010,231314.0,40583.0,190731.0,0.8246,,579136.0,788513.0,1367649.0,620142.0,1987791,2028374,32.0,99343.0,643856.0,-2019768,-8.7317,-1797060,-7.7689,-866596,,,,-2762967,-11.9447,-0.13,-0.13,21877750,21877750,123526.0,,123526.0,199660.0,234793.0,11570.0,569549.0,89714.0,,150000.0,150000.0,,,,239714.0,,809263.0,191800.0,,,,1247477.0,1439277.0,1020833.0,,,,1020833.0,,,2460110.0,,21983.0,-24217474.0,-321748.0,22866392.0,-1650847.0,809263.0,,809263.0,-2762967,643856.0,,,634855,44194.0,-66412.0,36352.0,-869728.0,867986.0,-616270,-833.0,,,,-333.0,-333.0,-500000.0,,,,1188000.0,688000,,71397,123526,52129,-617103
