,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate
1985,39638000,,39638000,1.0,,,,,40042000.0,40042000,40042000,176000.0,2943000,4535000,-1347000,-0.034,-404000,-0.0102,3451000,3047000,0.0769,1445000,-10270000,-0.2591,-0.39,-0.39,26045292,26045292,1207000,,1207000,,1887000,12721000,15815000,48919000,,,,481000.0,1207000,-1203000,49404000,,65219000,1863000,,,,13155000,15018000,25347000,,8276000.0,213000.0,33836000,,,48854000,,5950000,3237000.0,,7078000.0,16265000,65119000,100000.0,65219000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.439
1986,32360000,,32360000,1.0,,,,,32720000.0,32720000,32720000,286000.0,2782000,4368000,8932000,0.276,-360000,-0.0111,2960000,2600000,0.0803,1284000,498000,0.0154,0.02,0.02,26045292,26045292,672000,,672000,,128000,8015000,8815000,44458000,,,,421000.0,672000,-668000,44883000,,53698000,1973000,,,,9445000,11418000,18339000,,6626000.0,1401000.0,26366000,,,37784000,,5950000,2411000.0,,7453000.0,15814000,53598000,100000.0,53698000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4819
1987,31009000,,31009000,1.0,,,,,31367000.0,31367000,31367000,290000.0,2173000,4240000,9047000,0.2918,-358000,-0.0115,2971000,2613000,0.0843,1013000,1621000,0.0523,0.06,0.06,26045292,26045292,3426000,,3426000,,135000,5845000,9406000,29507000,,,,122000.0,3426000,-3384000,29671000,,39077000,2154000,,,,10240000,12394000,14036000,,6079000.0,906000.0,21021000,,,33415000,,5950000,,,,5562000,38977000,100000.0,39077000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8867
1988,27590000,,27590000,1.0,,,,,27768000.0,27768000,27768000,289000.0,1043000,3164000,15275000,0.5536,-178000,-0.0065,3234000,3056000,0.1108,1041000,10027000,0.3634,0.38,0.38,26067178,26067178,4049000,,4049000,,115000,6810000,10974000,27623000,,,,251000.0,4049000,-3651000,28272000,,39246000,2259000,,,,10935000,13194000,5679000,,5371000.0,230000.0,11280000,,,24474000,,5960000,,,8712000.0,14672000,39146000,100000.0,39246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8089
1989,26779000,,26779000,1.0,,,,,26807000.0,26807000,26807000,485000.0,531000,3187000,8049000,0.3006,-28000,-0.001,4255000,4227000,0.1578,1106000,3225000,0.1204,0.12,0.12,26124084,26454575,1644000,,1644000,,138000,8124000,9906000,27815000,,,,120000.0,1644000,-1442000,28137000,,38043000,2344000,,,,6451000,8795000,6806000,,5404000.0,173000.0,12383000,,,21178000,,5976000,,,10789000.0,16765000,37943000,100000.0,38043000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6115
1990,29926000,,29926000,1.0,,,,,29948000.0,29948000,29948000,603000.0,879000,3322000,6663000,0.2226,-22000,-0.0007,3656000,3634000,0.1214,1436000,1026000,0.0343,0.04,0.04,26352801,26683292,5042000,,5042000,,154000,7958000,13154000,23930000,,,,108000.0,5042000,-4890000,24190000,,37344000,2348000,,,,11615000,13963000,2351000,,4030000.0,249000.0,6630000,,,20593000,,6020000,,,10631000.0,16651000,37244000,100000.0,37344000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9335
1991,30079000,,30079000,1.0,,,,,29499000.0,29499000,29499000,271000.0,597000,3146000,5850000,0.1945,580000,0.0193,1527000,2107000,0.07,456000,1651000,0.0549,0.06,0.06,26352801,26662499,1053000,,1053000,,180000,7307000,8540000,30786000,,,,101000.0,1053000,-936000,31004000,,39544000,2226000,,,,7501000,9727000,8149000,,4503000.0,91000.0,12743000,,,22470000,,6020000,9977000.0,,977000.0,16974000,39444000,100000.0,39544000,1651000.0,3146000.0,,,-265000.0,,-26000.0,,,-3062000.0,1470000.0,-10174000.0,63000.0,-10000.0,61000.0,849000.0,-9211000.0,-4423000.0,,,,8175000.0,3752000.0,,-3989000.0,1053000.0,5042000.0,-8704000.0,1.8675
1992,31099000,,31099000,1.0,,,,,29409000.0,29409000,29409000,239000.0,1028000,3183000,5703000,0.1834,1690000,0.0543,-198000,1492000,0.048,847000,645000,0.0207,0.02,0.02,26352801,26352801,1178000,,1178000,,177000,5577000,6932000,29160000,,,,272000.0,1178000,-947000,29663000,,36595000,2043000,,,,5482000,7525000,6720000,,4745000.0,130000.0,11595000,,,19120000,,6020000,10378000.0,,977000.0,17375000,36495000,100000.0,36595000,645000.0,3183000.0,,,69000.0,,3000.0,,,-1175000.0,2722000.0,-1732000.0,,,44000.0,502000.0,-1186000.0,-2329000.0,,,,918000.0,-1411000.0,,125000.0,1178000.0,1053000.0,990000.0,1.5105
1993,28473000,,28473000,1.0,,,,,30670000.0,30670000,30670000,94000.0,765000,6607000,1738000,0.061,-2197000,-0.0772,-3437000,-5634000,-0.1979,-1842000,-3792000,-0.1332,-0.14,-0.14,26352801,26352801,640000,,640000,,184000,7840000,8664000,37129000,,,,857000.0,640000,-461000,38165000,,46829000,1826000,,,,9529000,11355000,16678000,,4848000.0,269000.0,21795000,,,33150000,,6020000,6582000.0,,977000.0,13579000,46729000,100000.0,46829000,-3792000.0,6607000.0,,,862000.0,,-7000.0,,,-3190000.0,487000.0,-13659000.0,,-585000.0,44000.0,96000.0,-14104000.0,-2096000.0,,,,13900000.0,11804000.0,,-1813000.0,-635000.0,1178000.0,-13172000.0,1.477
1994,32235000,,32235000,1.0,,,,,29160000.0,29160000,29160000,92000.0,1298000,3215000,6796000,0.2108,3075000,0.0954,-792000,2283000,0.0708,800000,1483000,0.046,0.06,0.06,26352801,26352801,1645000,,1645000,,231000,5784000,7660000,33750000,,,,863000.0,1645000,-1492000,34766000,,42426000,1928000,,,,9008000,10936000,10795000,,5447000.0,331000.0,16573000,,,27509000,,6020000,7820000.0,,977000.0,14817000,42326000,100000.0,42426000,1483000.0,3215000.0,,,-583000.0,,-47000.0,,,2573000.0,6688000.0,-2371000.0,,,178000.0,2231000.0,38000.0,-6399000.0,,,,600000.0,-5799000.0,,927000.0,292000.0,-635000.0,4317000.0,1.5665
1995,30230000,,30230000,1.0,,,,,29564000.0,29564000,29564000,299000.0,1035000,3197000,9545000,0.3157,666000,0.022,4647000,5313000,0.1758,-108000,5421000,0.1793,0.21,0.21,26352801,26352801,10043000,,10043000,,77000,3916000,14036000,26707000,,,,761000.0,10043000,-9884000,27627000,,41663000,1542000,,,,8631000,10173000,6225000,,5226000.0,186000.0,11637000,,,21810000,,6020000,12756000.0,-21939000.0,22916000.0,19753000,41563000,100000.0,41663000,5421000.0,3197000.0,,,3792000.0,,154000.0,,,-5613000.0,6797000.0,-556000.0,,-34000.0,114000.0,8040000.0,7564000.0,-4610000.0,,,,,-4610000.0,,9751000.0,5723000.0,-4028000.0,6241000.0,1.5508
1996,37963000,,37963000,1.0,,,,,34963000.0,34963000,34963000,646000.0,545000,2377000,7987000,0.2104,3000000,0.079,2065000,5065000,0.1334,1341000,3724000,0.0981,0.15,0.15,26352000,26352000,13450000,,13450000,,621000,38142000,52213000,78648000,,,,5000.0,13450000,-13152000,78951000,,131164000,3461000,,,,42104000,45565000,28265000,,11316000.0,1523000.0,41104000,,,86669000,,12040000,9376000.0,-20766000.0,43745000.0,44395000,131064000,100000.0,131164000,3724000.0,2377000.0,,,-479000.0,,-179000.0,,,185000.0,5807000.0,-16987000.0,-39442000.0,-45000.0,34000.0,164000.0,-56276000.0,-4320000.0,,,,52774000.0,48454000.0,,-2015000.0,-17284000.0,-15269000.0,-11180000.0,1.713
1997,62293000,,62293000,1.0,,,,,55570000.0,55570000,55570000,1207000.0,978000,6505000,16266000,0.2611,6723000,0.1079,2060000,8783000,0.141,1877000,6906000,0.1109,0.14,0.14,48354000,48435000,14615000,,14615000,,637000,10268000,25520000,92360000,,,,,14615000,-14295000,92680000,,118200000,5544000,,,,11547000,17091000,37002000,,12908000.0,621000.0,50531000,,,67622000,,12066000,15364000.0,-22484000.0,45532000.0,50478000,118100000,100000.0,118200000,6906000.0,6505000.0,,,-4049000.0,,-16000.0,,,-4255000.0,5107000.0,-19731000.0,,-59000.0,42000.0,2011000.0,-17737000.0,-40545000.0,28992000.0,,,21721000.0,10168000.0,,-2462000.0,11443000.0,13905000.0,-14624000.0,1.6475
1998,63523000,51947000.0,11576000,0.1822,,,,,-1161000.0,-1161000,50786000,1121000.0,2937000,7367000,14158000,0.2229,12737000,0.2005,-8883000,3854000,0.0607,1071000,2783000,0.0438,0.06,0.06,48251000,48631000,17396000,,17396000,,717000,9902000,28015000,98802000,,731000.0,731000.0,,17396000,-17396000,99533000,,127548000,4702000,,,,13109000,17811000,42177000,,13554000.0,2454000.0,58185000,,,75996000,,12068000,16334000.0,-28755000.0,51805000.0,51452000,127448000,100000.0,127548000,2783000.0,7367000.0,,,-392000.0,,27000.0,,,1412000.0,11170000.0,-14315000.0,-1743000.0,,19000.0,-669000.0,-16708000.0,-3533000.0,4000.0,,,11019000.0,7490000.0,,1952000.0,11913000.0,9961000.0,-3145000.0,1.6542
1999,68129000,56316000.0,11813000,0.1734,,,,,2983000.0,2983000,59299000,1073000.0,3183000,8034000,17492000,0.2567,8830000,0.1296,-2555000,6275000,0.0921,-11712000,17987000,0.264,0.37,0.37,48076000,48257000,21717000,,21717000,,709000,10604000,33030000,90428000,,693000.0,693000.0,,21717000,-21717000,91121000,,124151000,3642000,,,,12805000,16447000,37548000,,1298000.0,1422000.0,40268000,,,56715000,,12068000,32218000.0,-30918000.0,53968000.0,67336000,124051000,100000.0,124151000,17987000.0,8034000.0,,,-1611000.0,,8000.0,,,-14843000.0,9567000.0,-3773000.0,-246000.0,,,-1248000.0,-5267000.0,-5551000.0,,,,990000.0,-4561000.0,,-261000.0,16166000.0,16427000.0,5794000.0,1.6181
2000,60577000,51467000.0,9110000,0.1504,,,,,1358000.0,1358000,52825000,693000.0,2162000,7385000,14554000,0.2403,7752000,0.128,-2745000,5007000,0.0827,506000,4501000,0.0743,0.09,0.09,48156000,48424000,5914000,,5914000,,854000,12241000,19009000,117066000,,655000.0,655000.0,107000.0,5914000,-5914000,117828000,,136837000,4898000,,,,14293000,19191000,45633000,,1298000.0,1026000.0,47957000,,,67148000,,12068000,34471000.0,-35256000.0,58306000.0,69589000,136737000,100000.0,136837000,4501000.0,7385000.0,,,-734000.0,,-145000.0,,,-2221000.0,8931000.0,-33390000.0,-629000.0,,,18353000.0,-15666000.0,-21413000.0,,,,30034000.0,8621000.0,,1886000.0,-1035000.0,-2921000.0,-24459000.0,1.4959
2001,67567000,51913000.0,15654000,0.2317,,,,,2863000.0,2863000,54776000,461000.0,2406000,8695000,19178000,0.2838,12791000,0.1893,-4714000,8077000,0.1195,436000,7641000,0.1131,0.16,0.16,47693000,48014000,6825000,,6825000,,695000,15725000,23245000,137827000,,617000.0,617000.0,,6825000,-5030000,140239000,,163484000,6117000,,,,24598000,30715000,56531000,,1298000.0,5000.0,57834000,,,88549000,,12068000,39717000.0,-36520000.0,59570000.0,74835000,163384000,100000.0,163484000,7641000.0,8695000.0,,,-1504000.0,,159000.0,,,-1351000.0,13481000.0,-24937000.0,-336000.0,-4496000.0,,2687000.0,-27082000.0,-10612000.0,,,,26513000.0,15901000.0,,2300000.0,-5127000.0,-7427000.0,-11456000.0,1.4545
2002,71111000,53269000.0,17842000,0.2509,,4324000.0,,4324000.0,-1166000.0,3158000,56427000,522000.0,3041000,9818000,22577000,0.3175,14684000,0.2065,-4966000,9718000,0.1367,-318000,10036000,0.1411,0.21,0.21,47516302,47922270,4904000,,4904000,,1115000,14918000,20937000,126109000,,2721000.0,2721000.0,,4904000,-2507000,131227000,,152164000,2812000,8614000.0,653000.0,,13042000,24468000,44358000,,147000.0,500000.0,45005000,,,69473000,100000.0,12138000,47073000.0,-41271000.0,64551000.0,82591000,152064000,100000.0,152164000,10036000.0,9818000.0,,,1264000.0,,-255000.0,,,-2066000.0,19052000.0,-3133000.0,-1532000.0,-258000.0,,-1040000.0,-5963000.0,-16922000.0,,,-2570000.0,4482000.0,-15010000.0,501000.0,13590000.0,-48068000.0,-61658000.0,15919000.0,1.6113
2003,77215000,65077000.0,12138000,0.1572,,4474000.0,,4474000.0,-5716000.0,-1242000,63835000,294000.0,2531000,9526000,17437000,0.2258,13380000,0.1733,-8000000,5380000,0.0697,1050000,4330000,0.0561,0.09,0.09,47855653,49706184,5455000,,5455000,,2377000,18895000,26727000,114455000,,17397000.0,17397000.0,,5455000,-2707000,134600000,,161327000,3789000,9674000.0,1277000.0,,12777000,26240000,51633000,,200000.0,,51833000,,,78073000,100000.0,12211000,48356000.0,-48836000.0,71323000.0,83154000,161227000,100000.0,161327000,4330000.0,9526000.0,,,6090000.0,,-439000.0,,,-3001000.0,16945000.0,-9536000.0,-15662000.0,,,2489000.0,-22709000.0,-13326000.0,251000.0,-75000.0,-2978000.0,22876000.0,6748000.0,343000.0,-7784000.0,-55852000.0,-48068000.0,7409000.0,1.7857
2004,71153000,55726000.0,15427000,0.2168,,4874000.0,,4874000.0,214000.0,5088000,60814000,330000.0,2511000,8259000,24877000,0.3496,10339000,0.1453,-118000,10221000,0.1436,2123000,11984000,0.1684,0.25,0.25,48261182,48866810,8045000,2000000.0,10045000,,4028000,14901000,28974000,103091000,,21254000.0,21254000.0,967000.0,1391000,2000000,128703000,,157677000,4726000,8179000.0,1601000.0,,10155000,23060000,38472000,,,12814000.0,51286000,,,74346000,100000.0,12305000,48151000.0,-34627000.0,57302000.0,83231000,157577000,100000.0,157677000,11984000.0,8259000.0,,289000.0,-3637000.0,,-150000.0,,,-1666000.0,15229000.0,-3649000.0,-6250000.0,,7293000.0,10356000.0,7750000.0,-27409000.0,346000.0,-616000.0,-3410000.0,12574000.0,-18515000.0,126000.0,4590000.0,10045000.0,5455000.0,11580000.0,1.9186
2005,91411000,73931000.0,17480000,0.1912,,5413000.0,,5413000.0,-22529000.0,-17116000,56815000,304000.0,2587000,7670000,8814000,0.0964,34596000,0.3785,-23150000,11446000,0.1252,754000,-2197000,-0.024,-0.04,-0.04,48797076,49227996,9725000,,9725000,,5797000,21026000,36548000,67081000,36168000.0,,36168000.0,,1197000,11914000,116360000,,152908000,6978000,6363000.0,1370000.0,,9296000,22637000,42695000,,,14247000.0,56942000,,,79579000,,12345000,38030000.0,-23261000.0,46215000.0,73329000,152908000,,152908000,-2197000.0,7670000.0,,432000.0,6838000.0,,258000.0,,,5002000.0,17745000.0,-7357000.0,-22077000.0,-211000.0,,14384000.0,-15261000.0,-19547000.0,190000.0,,-3927000.0,20531000.0,-2753000.0,-51000.0,-320000.0,9725000.0,10045000.0,10388000.0,1.7214
