,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2002,221321.0,166717.0,54604.0,0.2467,,,,3031665.0,-310000.0,2721665.0,2888382.0,,,402794.0,-2918608.0,-13.1872,-2977061.0,-13.4513,-310000.0,,,,-3321402.0,-15.0072,-10347.05,-10347.05,321.0,321.0,709.0,,709.0,2005.0,,94567.0,97281.0,253702.0,,4464718.0,4464718.0,,,472813.0,5191233.0,,5288514.0,378931.0,311384.0,,14863.0,106187.0,811365.0,500000.0,,,,500000.0,,,1311365.0,211.0,22578.0,-4465853.0,-209843.0,8630056.0,3977149.0,5288514.0,,5288514.0,-3321402.0,402794.0,,,147586.0,,,,-714084.0,1840342.0,-930680.0,-7444.0,,,,-132320.0,-139764.0,,1198890.0,,,-130988.0,1067902.0,,-2542.0,709.0,3251.0,-938124.0
2003,110119.0,126779.0,-16660.0,-0.1513,,,,1611611.0,,1611611.0,1738390.0,,,112746.0,-1559165.0,-14.1589,-1628271.0,-14.7865,43848.0,,,,-1671911.0,-15.1828,-2247.19,-2247.19,744.0,744.0,479.0,,479.0,,,,479.0,158995.0,,,,,,280330.0,439325.0,,439804.0,115381.0,606896.0,,,48555.0,770832.0,601840.0,,,-593382.0,8458.0,,-593382.0,779290.0,30.0,52128.0,-6137764.0,161580.0,5584540.0,-339486.0,439804.0,,439804.0,-1671911.0,112746.0,,,121748.0,,,,-770353.0,863961.0,-573456.0,-836.0,,,,-85000.0,-85836.0,,150000.0,,,509771.0,659771.0,,659771.0,479.0,,-574292.0
2004,58640.0,59127.0,-487.0,-0.0083,,,,407319.0,,407319.0,466446.0,,,56007.0,-184726.0,-3.1502,-407806.0,-6.9544,219629.0,,,,-240733.0,-4.1053,-242.92,-242.92,991.0,991.0,7963.0,,7963.0,,,,7963.0,120388.0,,,,,,30795.0,151183.0,,159146.0,57389.0,99572.0,,,49874.0,206835.0,93985.0,,,-91114.0,2871.0,,8458.0,209706.0,20.0,71616.0,-6378497.0,-87955.0,6344256.0,-50560.0,159146.0,,159146.0,-240733.0,56007.0,,,-17252.0,,,,-198872.0,-146929.0,-348907.0,,,,,,,,,,,356391.0,356391.0,,7484.0,7963.0,479.0,-348907.0
2005,105112.0,59477.0,45635.0,0.4342,,,,290418.0,,290418.0,349895.0,,,40637.0,-251893.0,-2.3964,-244783.0,-2.3288,-47747.0,-292530.0,-2.783,,-292530.0,-2.783,-283.73,-283.73,1031.0,1031.0,19244.0,,19244.0,11071.0,,,30315.0,82928.0,,,,,,275125.0,358053.0,,388368.0,122858.0,396994.0,,,78571.0,598423.0,,,,,,,,598423.0,20.0,73745.0,-6671027.0,-67471.0,6454678.0,-210055.0,388368.0,,388368.0,-292530.0,40637.0,,,-11784.0,,,,1000.0,37704.0,-225973.0,-3177.0,-59999.0,,,,-63176.0,,,,,300430.0,300430.0,,11281.0,19244.0,7963.0,-229150.0
2006,25067.0,9007.0,16060.0,0.6407,,362606.0,,362606.0,,362606.0,371613.0,,,71816.0,-268139.0,-10.6969,-346546.0,-13.8248,6591.0,-339955.0,-13.5619,,-339955.0,-13.5619,-285.68,-285.68,1190.0,1190.0,573.0,,573.0,,,,573.0,11112.0,,,,,,318746.0,329858.0,,330431.0,102687.0,268139.0,,,109988.0,480814.0,,,,,,,,480814.0,20.0,83340.0,-7010982.0,-423534.0,7200773.0,-150383.0,330431.0,,330431.0,-339955.0,71816.0,,,-106538.0,,,,-480241.0,319451.0,-55226.0,,-93900.0,,50279.0,,-43621.0,,,,,80176.0,80176.0,,-18671.0,573.0,19244.0,-55226.0
2007,67303.0,46319.0,20984.0,0.3118,,108706.0,,108706.0,,108706.0,155025.0,,,11112.0,-70685.0,-1.0503,-87722.0,-1.3034,5925.0,-81797.0,-1.2154,,-81797.0,-1.2154,-67.88,-67.88,1205.0,1205.0,10068.0,,10068.0,,,,10068.0,,,,,,,368746.0,368746.0,,378814.0,71270.0,423563.0,,,69325.0,564158.0,,,,,,,,564158.0,20.0,71698.0,-7092779.0,,6835717.0,-185344.0,378814.0,,378814.0,-81797.0,11112.0,,,-49935.0,,,,-554090.0,-5309.0,-125929.0,,,,,,,,,,,135424.0,135424.0,,9495.0,10068.0,573.0,-125929.0
2008,113313.0,74986.0,38327.0,0.3382,,283471.0,,283471.0,,283471.0,358457.0,,41869.0,12292.0,-230133.0,-2.0309,-245144.0,-2.1634,-39150.0,-284294.0,-2.5089,,-284294.0,-2.5089,-270.24,-270.24,1052.0,1052.0,22331.0,,22331.0,,,,22331.0,,,356454.0,356454.0,,,,356454.0,,378785.0,76690.0,353563.0,,,87793.0,518046.0,150000.0,,,,150000.0,,,668046.0,20.0,77971.0,-7377073.0,,7009821.0,-289261.0,378785.0,,378785.0,-284294.0,12292.0,,15377.0,26607.0,,,8138.0,-495715.0,-2719.0,-232737.0,,,,,,,-70000.0,165000.0,,,150000.0,245000.0,,12263.0,22331.0,10068.0,-232737.0
2009,9524.0,351.0,9173.0,0.9631,,216027.0,,216027.0,-57206.0,158821.0,159172.0,,39219.0,55312.0,-94336.0,-9.9051,-149648.0,-15.7127,-39219.0,-188867.0,-19.8306,,-188867.0,-19.8306,-169.39,-169.39,1115.0,1115.0,2091.0,,2091.0,,,,2091.0,,,301142.0,301142.0,,,,301142.0,,303233.0,62067.0,468564.0,,,87967.0,618598.0,,,,,,,,618598.0,10.0,84996.0,-7565940.0,,7165569.0,-315365.0,303233.0,,303233.0,-188867.0,55312.0,,,70521.0,,,34204.0,-616507.0,-57206.0,-120240.0,,,,,,,,70000.0,,,30000.0,100000.0,,-20240.0,2091.0,22331.0,-120240.0
2010,1283.0,95.0,1188.0,0.926,,276101.0,,276101.0,,276101.0,276196.0,,24243.0,86040.0,-188155.0,-146.6524,-274913.0,-214.2736,-23525.0,-298438.0,-232.6095,,-298438.0,-232.6095,-237.61,-237.61,1256.0,1256.0,6738.0,,6738.0,10000.0,,,16738.0,5500000.0,,,,,,215102.0,5715102.0,,5731840.0,61881.0,178430.0,,,25294.0,265605.0,4934411.0,,,,4934411.0,,,5200016.0,310.0,101316.0,-7867384.0,-82928.0,8380510.0,531824.0,5731840.0,,5731840.0,-298438.0,86040.0,,28279.0,23766.0,,,-187.0,-248867.0,,-160353.0,,,,,-10000.0,-10000.0,-403564.0,175000.0,,,,-228564.0,,4647.0,6738.0,2091.0,-160353.0
2011,1288330.0,616484.0,671846.0,0.5215,,929244.0,,929244.0,,929244.0,1545728.0,,312904.0,247826.0,-9572.0,-0.0074,-257398.0,-0.1998,-312904.0,-570302.0,-0.4427,,-570302.0,-0.4427,-383.01,-383.01,1489.0,1489.0,19731.0,,19731.0,15881.0,,,35612.0,5414616.0,,129062.0,129062.0,,,,5543678.0,,5579290.0,98490.0,340812.0,62893.0,,106516.0,545818.0,4809677.0,,,,4809677.0,,,5355495.0,310.0,101316.0,-8443723.0,-244714.0,8810606.0,223795.0,5579290.0,,5579290.0,-570302.0,247826.0,,,105914.0,-5881.0,,36610.0,-510206.0,54555.0,-162007.0,,,,,,,-134978.0,213754.0,,,96224.0,175000.0,,12993.0,19731.0,6738.0,-162007.0
