,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1997,,,,,,,,,717421.0,717421.0,717421,,,8386.0,1119790,inf,-2546247,-inf,-1828826.0,,,,-2545103,-inf,-3.56,-3.56,700440,700440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2545103,8386.0,,,-98722,,,,-98722.0,1828826,-806613,-1862732,,,,1047899.0,-814833,,1192593.0,,,124792,1317385,,-304061,86593,390654,-2669345
1998,366.0,,,,,,,,204746.0,204746.0,204746,,,5670.0,-198710,-543.0817,-204380,-558.579,,,,,-204380,-558.579,-0.19,-0.19,800614,800614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-204380,5670.0,,,83091,,,,83091.0,0,-115619,-550517,,,,305111.0,-245405,,213922.0,,,81653,295575,,-65449,15084,80532,-666136
1999,14.0,,,,,,,,97149.0,97149.0,97149,,,,-1143199,-78844.2381,-980259,-67606.619,-1046064.0,,,,-1143199,-78844.2381,-1.24,-1.24,931368,931368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1143199,,,,-139197,,,,-139197.0,1046064,-236331,-265029,,,,7131.0,-257898,,108689.0,,,380029,488718,,-5512,10513,16025,-501361
2000,250.0,,,,,,,,147721.0,147721.0,147721,,,,-2265600,-9059.3787,-2265600,-9059.3787,-2118129.0,,,,-2265600,-9059.3787,-2.0,-2.0,1162700,1162700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2265600,,,,77651,,,,77651.0,2118129,-69820,-266039,,,,6479.0,-259560,,52028.0,,,288562,340590,,11210,21364,10154,-335859
2001,614.0,,,,,,,,187030.0,187030.0,187030,,,,-2878064,-4689.6837,-186416,-303.7574,-2667608.0,,,,-2878064,-4689.6837,-2.4,-2.4,1181630,1181630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2878064,,,,-27310,,,,-27310.0,2436597,-468778,-43688,,,,224982.0,181294,,,,,274279,274279,,-13204,18829,32033,-512466
2002,1394.0,,,,,,,,,,402783,,,1021.0,-601413,-431.5451,-401390,-288.0182,-142280.0,,,,-602434,-432.278,-0.19,-0.19,2955666,2955666,123979.0,,123979.0,301314.0,,51181.0,476474.0,2126633.0,,,,,,152854.0,2279487.0,,2755960.0,390367.0,,,,236753.0,627120.0,,,,,,,,627120.0,,10560560.0,-8834016.0,-1021.0,403318.0,2128841.0,2755960.0,-0.0,2755960.0,-602434,1021.0,,,-2767,,,,-2767.0,-5944,-610124,-171288,260090.0,,,762467.0,851269,,,,,-129127,-129127,,112018,123979,11961,-781412
2003,5835.0,,,,,,,,,,4132463,,,4213.0,-3962946,-679.137,-4126628,-707.1874,159469.0,,,,-3967159,-679.859,-0.93,-0.93,3769596,3769596,1630000.0,,1630000.0,1735080.0,,496593.0,3861673.0,4021863.0,,,,,,1355004.0,5376867.0,,9238540.0,787764.0,,,,3204.0,790968.0,800836.0,,,,800836.0,,,1591804.0,,16486393.0,-14691867.0,-5453.0,5857663.0,7646736.0,9238540.0,0.0,9238540.0,-3967159,4213.0,,,-93619,,,,-93619.0,1607071,-2449495,-1231096,,,,-1368473.0,-2599570,,6660296.0,,,-131745,6528551,,1479487,1630000,150513,-3680591
2004,11086063.0,11713278.0,-627215.0,-0.0566,,,,,7022477.0,7022477.0,18735755,,,1200359.0,-7445056,-0.6716,-7649691,-0.69,-995724.0,-8645416.0,-0.7798,-393465.0,-8251951,-0.7444,-0.93,-0.93,8894235,8894235,53698405.0,,53698405.0,60899729.0,83419568.0,16482273.0,214499975.0,298352937.0,,459181.0,459181.0,,,21315321.0,320127439.0,,534627414.0,53646830.0,,,,39337348.0,92984178.0,185942569.0,,,128622290.0,314564859.0,,14657195.0,407549038.0,,99936779.0,-5395378.0,-1024839.0,33561815.0,127078377.0,534627414.0,,534627414.0,-8251951,1200359.0,-330244.0,,1890795,,-9851598.0,,422580.0,-521570,-6012611,-4308982,-212629145.0,,,-11058612.0,-227996739,,116180312.0,,,170342057,286522368,-573145.0,51939874,53698405,1758531,-10321593
2005,538400000.0,396800000.0,141600000.0,0.263,9300000.0,16200000.0,,16200000.0,48843895.0,74343895.0,470200000,,,47737214.0,109237214,0.2029,73331324,0.1362,-11931324.0,61400000.0,0.114,-8900000.0,70400000,0.1308,0.9,0.6,82008190,121116832,121900000.0,,121900000.0,38500000.0,100300000.0,29500000.0,290200000.0,325400000.0,,,,,1400000.0,10000000.0,336800000.0,,627000000.0,,,,,110300000.0,110300000.0,172500000.0,,,119400000.0,291900000.0,,7758739.0,402200000.0,,123600000.0,67700000.0,-200000.0,33823368.0,224923368.0,627123368.0,-123368.0,627000000.0,70400000,47737214.0,,,18676597,,-14046840.0,,6406923.0,-12083313,124730498,-61067677,,,398657.0,11220079.0,-49448941,,17743241.0,,,-24087308,-6344068,-2546065.0,66391424,121973480,55582056,63662821
2006,995600000.0,527400000.0,468200000.0,0.4703,10900000.0,22900000.0,,22900000.0,36936102.0,70736102.0,628700000,,,62232327.0,452432327,0.4544,384780371,0.3865,5419629.0,390200000.0,0.3919,-107200000.0,497400000,0.4996,4.56,4.02,105979721,120334201,331200000.0,,331200000.0,113500000.0,140600000.0,140800000.0,726100000.0,381200000.0,,,,5900000.0,500000.0,18100000.0,405700000.0,,1131800000.0,,,,,170200000.0,170200000.0,13000000.0,,,120900000.0,133900000.0,,11162491.0,304100000.0,,264800000.0,551700000.0,-101900000.0,112620316.0,827220316.0,1131320316.0,479684.0,1131800000.0,497400000,62232327.0,-130051476.0,,-57370453,,-39461222.0,,,-8512732,363697666,-102307824,-8260981.0,-5853638.0,,13727.0,-116408717,,117059883.0,,,-155256520,-38196637,416953.0,209509266,331043240,121533974,261389842
2007,1183300000.0,680900000.0,502400000.0,0.4246,30800000.0,28100000.0,,28100000.0,93300343.0,152200343.0,871000000,,,95624558.0,436224558,0.3687,392173079,0.3314,-51673079.0,340500000.0,0.2878,128900000.0,211700000,0.1789,1.81,1.79,126847106,128507554,760300000.0,,760300000.0,71800000.0,184400000.0,59300000.0,1075800000.0,452000000.0,,,,2700000.0,700000.0,26000000.0,481400000.0,,1557200000.0,,7365445.0,,,184334555.0,191700000.0,24700000.0,,,145300000.0,170000000.0,,5029789.0,361700000.0,,312300000.0,872000000.0,-10800000.0,29401141.0,1202901141.0,1564601141.0,-7401141.0,1557200000.0,211700000,95624558.0,107179643.0,,20481672,,-20091891.0,,,68066737,503052610,-118083409,,-896698.0,,,-118980107,,7775422.0,-6254670.0,,-8108654,-6587903,-2133697.0,375350904,764994446,389643542,384969201
