,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1998,440330000.0,359613000.0,80717000.0,0.1833,,,,,20530000.0,20530000.0,380143000.0,,943000.0,32323000.0,90557000.0,0.2057,56457000.0,0.1282,834000.0,57291000.0,0.1301,21582000.0,35709000.0,0.0811,0.73,0.7,48916438.0,51012857.0,33170000.0,6166000.0,39336000.0,93357000.0,9841000.0,10804000.0,153338000.0,97881000.0,292693000.0,17084000.0,309777000.0,,,98800000.0,506458000.0,,659796000.0,57177000.0,1128000.0,,,79933000.0,138238000.0,12504000.0,,6961000.0,13260000.0,32725000.0,,,170963000.0,,510000.0,75852000.0,-36682000.0,449153000.0,488833000.0,659796000.0,,659796000.0,35709000.0,32323000.0,1265000.0,,-15347000.0,,-4202000.0,,3374000.0,4176000.0,58126000.0,-58294000.0,-13777000.0,-19120000.0,79611000.0,-62933000.0,-74513000.0,-11985000.0,6889000.0,,,22328000.0,17232000.0,2507000.0,3352000.0,33170000.0,29818000.0,-168000.0
1999,338496000.0,285967000.0,52529000.0,0.1552,,,,,26855000.0,26855000.0,312822000.0,,,46787000.0,30743000.0,0.0908,20547000.0,0.0607,-20602000.0,-55000.0,-0.0002,-1056000.0,-14988000.0,-0.0443,-0.29,-0.29,51682759.0,53528571.0,20410000.0,10890000.0,31300000.0,78874000.0,6261000.0,295302000.0,411737000.0,127720000.0,201716000.0,2574000.0,204290000.0,,,44379000.0,376389000.0,,788126000.0,42452000.0,14436000.0,,,78259000.0,135147000.0,151204000.0,,12547000.0,3050000.0,166801000.0,,,301948000.0,,509000.0,60762000.0,-31957000.0,456864000.0,486178000.0,788126000.0,,788126000.0,-14988000.0,46787000.0,-317000.0,,-7191000.0,,,,-2111000.0,46629000.0,70920000.0,-61211000.0,-65678000.0,-10510000.0,3082000.0,-23595000.0,-157912000.0,-97295000.0,3899000.0,-36212000.0,,206480000.0,76872000.0,-2640000.0,-12760000.0,20410000.0,33170000.0,9709000.0
2000,316651000.0,270619000.0,46032000.0,0.1454,,,,,38489000.0,38489000.0,309108000.0,,7322000.0,30442000.0,338678000.0,1.0696,7543000.0,0.0238,-13468000.0,-5925000.0,-0.0187,-4308000.0,305222000.0,0.9639,7.02,7.02,43478917.0,43478917.0,116490000.0,202077000.0,318567000.0,101882000.0,5832000.0,24891000.0,451172000.0,171842000.0,296422000.0,2611000.0,299033000.0,,,94916000.0,565791000.0,,1016963000.0,20108000.0,20292000.0,,,253314000.0,293714000.0,128575000.0,,4824000.0,3707000.0,137106000.0,,,430820000.0,,373000.0,360232000.0,-38965000.0,264503000.0,586143000.0,1016963000.0,,1016963000.0,305222000.0,30442000.0,-4639000.0,,-40538000.0,,,,-19234000.0,-282559000.0,7928000.0,-33813000.0,683950000.0,-488352000.0,227026000.0,-83549000.0,305262000.0,-259670000.0,1265000.0,-211989000.0,,258368000.0,-212026000.0,-1104000.0,97495000.0,116490000.0,18995000.0,-25885000.0
2001,484804000.0,413809000.0,70995000.0,0.1464,,22003000.0,,22003000.0,345685000.0,367688000.0,781497000.0,,9169000.0,37968000.0,24011000.0,0.0495,24874000.0,0.0513,-48000000.0,-23126000.0,-0.0477,-5680000.0,-17446000.0,-0.036,-0.46,-0.46,37926087.0,37926087.0,102194000.0,60091000.0,162285000.0,105299000.0,7344000.0,13786000.0,288714000.0,201508000.0,317591000.0,8400000.0,325991000.0,,,94023000.0,621522000.0,,910236000.0,15696000.0,6449000.0,,,146574000.0,168719000.0,124474000.0,,,14207000.0,138681000.0,,,307400000.0,,387000.0,342786000.0,-60147000.0,319810000.0,602836000.0,910236000.0,,910236000.0,-17446000.0,37968000.0,-1213000.0,,-113679000.0,,,,-103693000.0,48966000.0,-45404000.0,-55785000.0,-60477000.0,-170178000.0,293697000.0,-6721000.0,536000.0,-202520000.0,16926000.0,,,216247000.0,30653000.0,-81000.0,-14296000.0,102194000.0,116490000.0,-101189000.0
2002,603998000.0,541256000.0,62742000.0,0.1039,,26122000.0,,26122000.0,468768000.0,494890000.0,1036146000.0,,8391000.0,31037000.0,-60005000.0,-0.0993,16376000.0,0.0271,-34741000.0,-18365000.0,-0.0304,-3490000.0,-95943000.0,-0.1588,-2.4,-2.4,39976250.0,39976250.0,104685000.0,22546000.0,127231000.0,121191000.0,6223000.0,15329000.0,269974000.0,309451000.0,272520000.0,38064000.0,310584000.0,21105000.0,,54161000.0,695301000.0,,965275000.0,29323000.0,11365000.0,14758000.0,,183955000.0,224643000.0,154055000.0,,,26636000.0,180691000.0,,,405334000.0,,403000.0,246843000.0,-19244000.0,257926000.0,485928000.0,891262000.0,74013000.0,965275000.0,-95943000.0,31037000.0,-9108000.0,,14355000.0,,,,11937000.0,140784000.0,81125000.0,-69755000.0,-56207000.0,-29075000.0,62210000.0,-4681000.0,-97508000.0,-20142000.0,15678000.0,,,26261000.0,21797000.0,-2923000.0,2491000.0,104685000.0,102194000.0,11370000.0
2003,472806000.0,396634000.0,76172000.0,0.1611,,19530000.0,,19530000.0,23050000.0,42580000.0,439214000.0,,8844000.0,25087000.0,82996000.0,0.1755,33592000.0,0.071,-10114000.0,23478000.0,0.0497,2930000.0,46135000.0,0.0976,1.1,1.05,41940909.0,43938095.0,92145000.0,16765000.0,108910000.0,143234000.0,3375000.0,14338000.0,269857000.0,365850000.0,233561000.0,88634000.0,322195000.0,3759000.0,,188253000.0,880057000.0,,1149914000.0,33992000.0,21654000.0,20346000.0,,257321000.0,312967000.0,75100000.0,,,46706000.0,121806000.0,,,434773000.0,,450000.0,292978000.0,22200000.0,353522000.0,669150000.0,1103923000.0,45991000.0,1149914000.0,46135000.0,25087000.0,-6471000.0,,-24648000.0,,,,-17127000.0,18792000.0,58895000.0,-81078000.0,34482000.0,-55312000.0,67068000.0,-8027000.0,-42867000.0,-39482000.0,15024000.0,,,21671000.0,-2787000.0,-19538000.0,-6297000.0,98388000.0,104685000.0,-22183000.0
2004,648019000.0,529674000.0,118345000.0,0.1826,,21380000.0,,21380000.0,5718000.0,27098000.0,556772000.0,20582000.0,7670000.0,30317000.0,107796000.0,0.1663,91247000.0,0.1408,19553000.0,110800000.0,0.171,6798000.0,63011000.0,0.0972,1.36,1.29,46331618.0,48845736.0,105629000.0,4515000.0,110144000.0,225789000.0,4647000.0,40317000.0,380897000.0,485592000.0,364973000.0,186141000.0,551114000.0,,3335000.0,109772000.0,1149813000.0,,1530710000.0,20824000.0,47010000.0,16628000.0,,388260000.0,456094000.0,86605000.0,,,71838000.0,158443000.0,,,614537000.0,,488000.0,355989000.0,47230000.0,474928000.0,878635000.0,1493172000.0,37538000.0,1530710000.0,63011000.0,30317000.0,1992000.0,,-6353000.0,,,,60620000.0,35375000.0,124342000.0,-100779000.0,-75762000.0,-57648000.0,73951000.0,32065000.0,-128173000.0,-66939000.0,19654000.0,,,79112000.0,31827000.0,-10123000.0,17873000.0,116261000.0,98388000.0,23563000.0
2005,875376000.0,714906000.0,160470000.0,0.1833,,25460000.0,,25460000.0,4588000.0,30048000.0,744954000.0,9322000.0,10440000.0,50765000.0,156055000.0,0.1783,130422000.0,0.149,-154000.0,130268000.0,0.1488,19667000.0,75183000.0,0.0859,1.52,1.45,49462500.0,51850345.0,105106000.0,4768000.0,109874000.0,299556000.0,5282000.0,-4192000.0,410520000.0,573937000.0,412114000.0,222275000.0,634389000.0,,25760000.0,138337000.0,1372423000.0,,1782943000.0,30078000.0,63044000.0,31615000.0,,468291000.0,561413000.0,99997000.0,,583000.0,69562000.0,170142000.0,,,731555000.0,,499000.0,435554000.0,38865000.0,503791000.0,978709000.0,1710264000.0,72679000.0,1782943000.0,75183000.0,50765000.0,11499000.0,,-32087000.0,,,,65734000.0,35700000.0,141060000.0,-109144000.0,-69781000.0,-6704000.0,5397000.0,-17811000.0,-198043000.0,-159883000.0,14311000.0,,,186378000.0,40806000.0,3765000.0,-12412000.0,105106000.0,117518000.0,31916000.0
2006,1145761000.0,951283000.0,194478000.0,0.1697,,46079000.0,,46079000.0,,46079000.0,997362000.0,20025000.0,37064000.0,48858000.0,215653000.0,0.1882,148399000.0,0.1295,-3905000.0,144494000.0,0.1261,24108000.0,105623000.0,0.0922,1.98,1.91,51216667.0,53093717.0,96987000.0,,96987000.0,311154000.0,5803000.0,21443000.0,435387000.0,729312000.0,579811000.0,265218000.0,845029000.0,,34870000.0,158415000.0,1767626000.0,,2203013000.0,40788000.0,95668000.0,23141000.0,,472898000.0,609354000.0,327734000.0,,28159000.0,61647000.0,417540000.0,,,1026894000.0,,514000.0,541358000.0,54496000.0,534327000.0,1130695000.0,2157589000.0,45424000.0,2203013000.0,105623000.0,48858000.0,1671000.0,,16221000.0,,,,-1261000.0,44443000.0,216816000.0,-174732000.0,,-38667000.0,9445000.0,-245026000.0,-448980000.0,-568095000.0,19109000.0,,,767511000.0,218525000.0,5520000.0,-8119000.0,96987000.0,105106000.0,42084000.0
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
