,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2003,821000,,,,,1142000,,1142000,,,,4852000,1702000,134000.0,3013000,3.6699,,,,1177000,1.4336,396000,781000,0.9513,0.55,0.53,1422892,1467163,3363000,,3363000,2180000.0,,,,1672000,,,,24630000,,,,94931000,94931000,,,,,,,4779000,,,,4779000,91882000,,87103000,,708000.0,742000.0,-159000,6537000.0,7828000,94931000,,94931000,781000,134000.0,,,,,,,,205000,1120000.0,-72000.0,,-40524000.0,25399000.0,352000.0,-14845000.0,,,,,13598000.0,13598000.0,,-127000.0,2018000.0,2145000,1048000.0
2004,946000,,,,,1360000,,1360000,,,,5536000,1570000,118000.0,3373000,3.5655,,,,1685000,1.7812,627000,1058000,1.1184,0.73,0.7,1458011,1511090,3738000,,3738000,2211000.0,,,,1619000,,,,20380000,,,,106206000,106206000,,290000.0,,,,290000.0,4039000,,,,4039000,101112000,,97363000,,743000.0,1323000.0,-189000,6966000.0,8843000,106206000,,106206000,1058000,118000.0,,,,,,,,563000,1739000.0,-65000.0,,-24521000.0,11960000.0,854000.0,-11772000.0,,,-9000.0,,10177000.0,10168000.0,,135000.0,2153000.0,2018000,1674000.0
2005,1036000,,,,,2485000,,2485000,,,,6651000,2326000,189000.0,3272000,3.1583,,,,757000,0.7307,195000,562000,0.5425,0.28,0.24,1995640,2317791,4021000,,4021000,6089000.0,,,,5626000,,,,28534000,,,,151334000,151334000,,,,,,,3002000,,,,3002000,135818000,,132816000,,1336000.0,1885000.0,-443000,15740000.0,18518000,151334000,,151334000,562000,189000.0,37000.0,,,,,,,-381000,407000.0,-2525000.0,,-46669000.0,7779000.0,14472000.0,-26943000.0,-1037000.0,,-1000.0,,28551000.0,27513000.0,,977000.0,3130000.0,2153000,-2118000.0
2006,1685000,,,,,2897000,,2897000,,,,10011000,4360000,310000.0,5984000,3.5513,,,,1314000,0.7798,341000,973000,0.5774,0.34,0.33,2869770,2899764,6470000,,6470000,6896000.0,,,,6493000,,,,28739000,,,,191284000,191284000,,20209000.0,,,,20209000.0,13790000,,,,13790000,163210000,,169629000,,1468000.0,2858000.0,-373000,17702000.0,21655000,191284000,,191284000,973000,310000.0,,,,,,,,-1379000,-96000.0,-1177000.0,,-43807000.0,9945000.0,,-35039000.0,,2102000.0,-8000.0,,36328000.0,38422000.0,,3287000.0,6417000.0,3130000,-1273000.0
2007,2207000,,,,,3485000,,3485000,,,,13274000,6377000,364000.0,8437000,3.8228,,,,1696000,0.7685,414000,1282000,0.5809,0.43,0.42,2954541,3033394,5416000,,5416000,8574000.0,,,,8244000,,,,27843000,,,,230098000,230098000,,19817000.0,,,,19817000.0,27707000,,,,27707000,214463000,,206573000,,1508000.0,4140000.0,-405000,18282000.0,23525000,230098000,,230098000,1282000,364000.0,-117000.0,,,,,,,1055000,2584000.0,-2115000.0,,-47557000.0,8610000.0,,-41062000.0,,757000.0,-150000.0,,36380000.0,36987000.0,,-1491000.0,4926000.0,6417000,469000.0
2008,9526000,,,,,4022000,235000.0,4257000,,,,13687000,5949000,457000.0,7497000,0.787,,,,1091000,0.1145,263000,828000,0.0869,0.26,0.25,3183900,3258011,11750000,,11750000,9809000.0,,,,8060000,,,,26591000,,,,258706000,258706000,,,,,,,36066000,,,,36066000,268936000,,232870000,,1604000.0,4671000.0,-315000,19876000.0,25836000,258706000,,258706000,828000,457000.0,-24000.0,15000.0,-1611000.0,,,,,397000,62000.0,-257000.0,,-21229000.0,22351000.0,-28722000.0,-27857000.0,-168191000.0,,-131000.0,-159000.0,196060000.0,27579000.0,,-216000.0,4710000.0,4926000,-195000.0
2009,10994000,,,,,4685000,309000.0,4994000,,,,14337000,5533000,562000.0,7955000,0.7236,,,,1860000,0.1692,454000,1406000,0.1279,0.43,0.42,3263987,3316472,55698000,,55698000,13051000.0,,,,7757000,,,,43886000,,,,352762000,352762000,,,,,,,23322000,,,,23322000,348946000,,325624000,,1629000.0,5917000.0,-343000,19935000.0,27138000,352762000,,352762000,1406000,562000.0,-39000.0,15000.0,-2734000.0,,,,,601000,-189000.0,-142000.0,,-41336000.0,19952000.0,-73042000.0,-94568000.0,-21744000.0,,-223000.0,-160000.0,114495000.0,92368000.0,,-2389000.0,2321000.0,4710000,-331000.0
2010,13271000,,,,,5319000,338000.0,5657000,,,,16287000,5470000,960000.0,9462000,0.713,,,,3032000,0.2285,795000,2237000,0.1686,0.7,0.69,3212311,3267480,31538000,,31538000,12461000.0,,,,7579000,,,,69284000,,,,414267000,414267000,,,,,,,4124000,,,,4124000,387622000,,383498000,,3531000.0,4643000.0,-263000,22858000.0,30769000,414267000,,414267000,2237000,960000.0,-144000.0,46000.0,164000.0,,,,,1742000,5005000.0,-269000.0,,-70961000.0,45556000.0,-36508000.0,-62182000.0,-196300000.0,,-484000.0,-160000.0,255513000.0,58569000.0,,1392000.0,3713000.0,2321000,4736000.0
2011,17796000,,,,,9041000,482000.0,9523000,,,,19008000,4900000,1352000.0,9966000,0.56,,,,3714000,0.2087,1012000,2702000,0.1518,0.62,0.6,4316537,4410026,19959000,,19959000,6806000.0,,,,7782000,,,,112934000,,,,533481000,533481000,3478000.0,,,,,,13891000,,,,13891000,499640000,,485749000,8500000.0,2235000.0,6220000.0,-742000,31519000.0,47732000,533481000,,533481000,2702000,1352000.0,147000.0,117000.0,-714000.0,-1489000.0,,,,-3972000,-368000.0,-669000.0,,-259232000.0,213525000.0,-63305000.0,-109681000.0,-98951000.0,6500000.0,-78000.0,-262000.0,208890000.0,116099000.0,,6050000.0,9763000.0,3713000,-1037000.0
2012,24686000,,,,,10380000,647000.0,11027000,,,,22254000,4930000,1773000.0,12537000,0.5079,,,,5834000,0.2363,1666000,4168000,0.1688,0.7,0.7,5791497,5791497,34767000,79502000.0,114269000,9734000.0,,458918000.0,582921000.0,11354000,17622000.0,,17622000.0,114872000,,,143848000.0,870617000,726769000,6726000.0,,,,,,95741000,,,,95741000,754961000,,659220000,8500000.0,2933000.0,9945000.0,-1495000,47666000.0,67549000,726769000,,726769000,4168000,1773000.0,-144000.0,138000.0,-527000.0,-1911000.0,,1384000.0,,-16049000,-10641000.0,-3859000.0,-15646000.0,-83253000.0,80355000.0,-79214000.0,-101617000.0,-138489000.0,13734000.0,,-443000.0,249330000.0,124132000.0,,11874000.0,21637000.0,9763000,-14500000.0
