,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate
2005,798877000000,,,,,325848000000,,325848000000,267996000000,593844000000,,1851190000000,1148430000000,,1437269000000,1.7991,,,,290803000000,0.364,83868000000,204971000000,0.2566,22.98,22.98,8919196258,8919196258,3073559000000,,3073559000000,-5742000000.0,,,,442405000000,,,,3518560000000,,,,20105690000000,20105690000000,353031000000,,82946000000,,,,1063029000000,,,,1063029000000,19053615000000,,17990586000000,,616996000000,847742000000,,585768000000,2050506000000,20041092000000,64598000000.0,20105690000000,204971000000,,,,736145000000.0,,,,,36925000000,978041000000,-149677000000,,-3702983000000.0,3489810000000,5539000000,-357311000000,-955284000000.0,100249000000.0,,,699527000000.0,-155508000000,,465222000000,1654421000000,1189199000000,828364000000,
2006,1117532000000,,,,,370693000000,,370693000000,362867000000,733560000000,,2481314000000,1599697000000,,1932575000000,1.7293,,,,332878000000,0.2979,95843000000,237035000000,0.2121,22.62,22.62,10480092176,10480092176,2461999000000,,2461999000000,,,,,603209000000,,,,4808824000000,,,,24205990000000,24205990000000,454843000000,,60229000000,,,,1010911000000,,,,1010911000000,22761969000000,,21751058000000,,616996000000,1084677000000,,753259000000,2454932000000,24205990000000,,24205990000000,237035000000,,,,-82781000000.0,,,,,10137000000,164391000000,-227204000000,,,237020000000,27905000000,37721000000,-4584000000.0,,,,,-4584000000,,197528000000,1851949000000,1654421000000,-62813000000,
2007,1506624000000,,,,,538688000000,,538688000000,508901000000,1047589000000,,2540699000000,1402794000000,,1754687000000,1.1646,,,,351893000000,0.2336,101809000000,250084000000,0.166,21.33,21.33,11723729783,11723729783,3739644000000,,3739644000000,-15766000000.0,,,,729765000000,,,,3944083000000,,,,28969069000000,28969069000000,910619000000,,65100000000,,,,1304208000000,,,,1304208000000,26904651000000,,25600443000000,,726822000000,1334661000000,,1307143000000,3368626000000,28969069000000,,28969069000000,250084000000,,,,-1456992000000.0,,,,,131083000000,-1075825000000,-191895000000,,-695379000000.0,1471016000000,3640000000,587382000000,-52740000000.0,109826000000.0,,,911110000000.0,968196000000,,479753000000,2331702000000,1851949000000,-1267720000000,
2008,1871165000000,,,,,606462000000,,606462000000,631547000000,1238009000000,,2699756000000,1353608000000,,1807836000000,0.9662,,,,454228000000,0.2428,137306000000,316922000000,0.1694,25.67,25.67,12345548585,12345548585,4754275000000,,4754275000000,-19714000000.0,,,,777518000000,,,,6498551000000,,,,34245838000000,34245838000000,976618000000,,131695000000,,,,1477352000000,,,,1477352000000,32092520000000,,30615168000000,,726822000000,1758986000000,,1144862000000,3630670000000,34245838000000,,34245838000000,316922000000,,,,4179527000000.0,,,,,361320000000,4857769000000,-137092000000,,-6027128000000.0,952776000000,6305000000,-5205139000000,-821584000000.0,,,,922450000000.0,100866000000,,-246504000000,2085198000000,2331702000000,4720677000000,
2009,2223358000000,,,,,621091000000,,621091000000,733246000000,1354337000000,,3264302000000,1581058000000,,2193213000000,0.9864,,,,612155000000,0.2753,176290000000,435865000000,0.196,35.31,35.31,12345548585,12345548585,5058903000000,,5058903000000,-1614000000.0,,,,804333000000,,,,8470505000000,,,,37052596000000,37052596000000,616481000000,,95030000000,,,,601678000000,,,,601678000000,33516974000000,,32915296000000,,726822000000,2194751000000,,1215727000000,4137300000000,37052596000000,,37052596000000,435865000000,,,,-3508527000000.0,,,,,294606000000,-2778056000000,-116958000000,,-8160698000000.0,11969430000000,6039000000,3697813000000,-870634000000.0,,,,,-870634000000,,49123000000,2134321000000,2085198000000,-2895014000000,
2010,2099052000000,,,,,622315000000,,622315000000,870117000000,1492432000000,,3331821000000,1525155000000,,1953471000000,0.9306,,,,428316000000,0.2041,107330000000,320986000000,0.1529,26.0,26.0,12345548585,12345548585,7656865000000,,7656865000000,,,,,827186000000,,,,6592395000000,,,,44474822000000,44474822000000,688065000000,,50528000000,,,,1471767000000,,,,1471767000000,41414083000000,,39942316000000,,726822000000,2567262000000,,1238422000000,4532506000000,44474822000000,,44474822000000,320986000000,,,,-2577461000000.0,,,,,168137000000,-2088338000000,-131254000000,,-4650084000000.0,3540377000000,10057000000,-1230904000000,-10609000000.0,,,,880000000000.0,869391000000,,-2449851000000,8597128000000,11046979000000,-2219592000000,
2011,2906308000000,,,,,700448000000,,700448000000,1002487000000,1702935000000,,4187166000000,1931724000000,,2937599000000,1.0108,,,,1005875000000,0.3461,253221000000,752654000000,0.259,50.34,50.34,14951506361,14951506361,8297883000000,,8297883000000,1286389000000.0,,,,835414000000,,,,7602109000000,,,,59834397000000,59834397000000,1303242000000,,65534000000,,,,1763510000000,,,,1763510000000,55007528000000,,53244018000000,,880243000000,3319916000000,,2390220000000,6590379000000,59834397000000,,59834397000000,752654000000,,,,1102573000000.0,,,,,52664000000,1907891000000,-132484000000,,-5826087000000.0,4954003000000,7990000000,-996578000000,,,,,291375000000.0,291375000000,-10358000000.0,1192330000000,10044950000000,8852620000000,1775407000000,
2012,3403748000000,,,,,376323000000,51390000000.0,427713000000,1513785000000,1941498000000,,4895371000000,2358155000000,135512000000.0,3715908000000,1.0917,,,,1222241000000,0.3591,306785000000,915456000000,0.269,57.82,57.82,15831518961,15831518961,11867101000000,,11867101000000,476226000000.0,,,,801523000000,,,,8176561000000,,,,79141737000000,79141737000000,167910000000,,97850000000,,,,1643107000000,,,,1643107000000,71833368000000,,70190261000000,,1068615000000,4171861000000,,3711000000000,8951476000000,79141737000000,,79141737000000,915456000000,,,,,,,,,1282878000000,2198334000000,-107410000000,,-7657018000000.0,5171930000000,9643000000,-2582855000000,-290160000000.0,1506976000000.0,,,-1810000000.0,1215006000000,,830485000000,10875435000000,10044950000000,2090924000000,
2013,4019895000000,,,,,426776000000,63422000000.0,490198000000,1725176000000,2215374000000,,6057966000000,3009857000000,150353000000.0,4689926000000,1.1667,,,,1529716000000,0.3805,386995000000,1142721000000,0.2843,64.44,64.44,17731311644,17731311644,13003581000000,,13003581000000,1325338000000.0,,,,838074000000,,,,16255812000000,,,,97524537000000,97524537000000,333541000000,,128966000000,,,,7529561000000,,,,7529561000000,91557546000000,,84027985000000,,1434081000000,5324298000000,,6738173000000,13496552000000,97524537000000,,97524537000000,1142721000000,,,,,,,,,-75782000000,1066939000000,-190834000000,,-10278183000000.0,3460392000000,4130000000,-7004495000000,-600000000000.0,3508476000000.0,,,6308504000000.0,9216980000000,,3279424000000,14154859000000,10875435000000,876105000000,
2014,4483304000000,,,,,500739000000,72200000000.0,572939000000,1916977000000,2489916000000,,7758416000000,4162855000000,163277000000.0,6102844000000,1.3612,,,,1776712000000,0.3963,444530000000,1332182000000,0.2971,58.06,58.06,22945296972,22945296972,12256575000000,,12256575000000,744386000000.0,,,,987128000000,,,,18023738000000,,,,103123179000000,103123179000000,501322000000,,182658000000,,,,6775223000000,,,,6775223000000,94991226000000,,88216003000000,,1434081000000,6656701000000,,6816394000000,14907176000000,103123179000000,,103123179000000,1332182000000,,,,,,,,,-173342000000,1158840000000,-317186000000,,-12437462000000.0,9926425000000,6368000000,-2821855000000,-973000000000.0,,,,,-973000000000,,-2636015000000,11518844000000,14154859000000,841654000000,
