,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175645,25425.0,201070,,,,201070,,,,,,,,,,201070,,,,,,,,,,,,,,,,200,1070,,199800,201070,,201070.0,201070,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,1908671.0,165170.0,2073841.0,,2073841.0,2073841.0,,,,-2074046.0,-inf,-2166678.0,-inf,,-2166678.0,-inf,,-2166678.0,-inf,-0.6,-0.6,3626702.0,3626702.0,174442,,174442,9431.0,,,183873,,,,,1642027.0,,16733.0,1658760.0,,1842633,,,,,430932.0,430932.0,,,,,,,,430932.0,,3678,-2212686,,3620709,1411701,1842633.0,,1842633,-2166678.0,,,116330.0,404766.0,,,,-16733.0,92837.0,-1552745.0,,,,25630.0,-1735068.0,-1709438.0,,3260980.0,,,,3260980.0,,-1203.0,174442.0,175645.0,-1552745.0
2013,,,,,,2592108.0,291585.0,2883693.0,,2883693.0,2883693.0,15.0,,,-2883693.0,-inf,-3472224.0,-inf,,-3472224.0,-inf,,-3472224.0,-inf,-0.96,-0.96,3626702.0,3626702.0,265952,,265952,13930.0,,,279882,,,,,4830938.0,,87774.0,4918712.0,,5198594,158221.0,,,,81970.0,240191.0,,,,,,,,240191.0,,11927,-6235036,,11181512,4958403,5198594.0,,5198594,-3472224.0,,,175500.0,-216781.0,,,158221.0,-71041.0,588546.0,-2924959.0,,,-3900000.0,,122543.0,-3777457.0,,6985501.0,,,-191575.0,6793926.0,,91510.0,265952.0,174442.0,-2924959.0
2014,2664000.0,604000.0,2060000.0,0.7733,,3302000.0,,3302000.0,1642000.0,4944000.0,5548000.0,,13279000.0,1587000.0,-3563000.0,-1.3375,-5482000.0,-2.0578,-12947000.0,-18429000.0,-6.9178,,-18429000.0,-6.9178,-5.08,-5.08,3626702.0,3626702.0,4974000,,4974000,,,744000.0,5718000,137108000.0,,19424000.0,19424000.0,3722000.0,,3556000.0,163810000.0,,169528000,4149000.0,,,,1653000.0,5802000.0,173627000.0,,,2473000.0,176100000.0,,,181902000.0,,13000,-24854000,-1004000.0,13471000,-12374000,169528000.0,,169528000,-18429000.0,1587000.0,,,2404000.0,,,1312000.0,1653000.0,9133000.0,-5305000.0,-154218000.0,,,,1468000.0,-152750000.0,-2000000.0,1096000.0,,,163667000.0,162763000.0,,4708000.0,4974000.0,266000.0,-159523000.0
2015,19290000.0,5751000.0,13539000.0,0.7019,,4688000.0,,4688000.0,12136000.0,16824000.0,22575000.0,,44676000.0,11785000.0,7796000.0,0.4041,-5369000.0,-0.2783,-43296000.0,-48665000.0,-2.5228,,-48665000.0,-2.5228,-13.42,-13.42,3626702.0,3626702.0,698000,,698000,,,757000.0,1455000,129714000.0,,14773000.0,14773000.0,2987000.0,,1122000.0,148596000.0,,150051000,4268000.0,,,,8081000.0,12349000.0,196800000.0,,,1941000.0,198741000.0,,,211090000.0,,13000,-73519000,-8522000.0,20989000,-61039000,150051000.0,,150051000,-48665000.0,11785000.0,,,7190000.0,,,937000.0,6267000.0,25339000.0,-4351000.0,-434000.0,1708000.0,,1708000.0,-1362000.0,1620000.0,,,,,-1545000.0,-1545000.0,,-4276000.0,698000.0,4974000.0,-4785000.0
2016,19658000.0,5927000.0,13731000.0,0.6985,,3742000.0,,3742000.0,11674000.0,15416000.0,21343000.0,,40679000.0,11319000.0,15011000.0,0.7636,-1455000.0,-0.074,-37833000.0,-39288000.0,-1.9986,,-36987000.0,-1.8815,-10.2,-10.2,3626702.0,3626702.0,941000,,941000,,,9260000.0,10201000,123059000.0,,10533000.0,10533000.0,,,1953000.0,135545000.0,,145746000,5352000.0,,,,207000.0,5559000.0,145315000.0,,,32448000.0,177763000.0,,,183322000.0,,3000,-110506000,-16027000.0,28504000,-98026000,85296000.0,60450000.0,145746000,-36987000.0,11319000.0,,,-2138000.0,,,174000.0,-1782000.0,28026000.0,220000.0,-850000.0,5582000.0,,6063000.0,-13277000.0,-1632000.0,-114447000.0,,,,116102000.0,1655000.0,,243000.0,941000.0,698000.0,220000.0
2017,24818000.0,8205000.0,16613000.0,0.6694,,5189000.0,,5189000.0,13998000.0,19187000.0,27392000.0,,10713000.0,13575000.0,15581000.0,0.6278,-2677000.0,-0.1079,-11350000.0,-14027000.0,-0.5652,,-8707000.0,-0.3508,-4.45,-4.45,2150000.0,2150000.0,12915000,,12915000,,,6248000.0,19163000,278389000.0,,27619000.0,27619000.0,,,4782000.0,310790000.0,,329953000,16015000.0,,,,1357000.0,17372000.0,245632000.0,,,6807000.0,252439000.0,,,269811000.0,48931000.0,39000,-119213000,-25013000.0,148283000,53027000,322838000.0,7115000.0,329953000,-8707000.0,13575000.0,,435000.0,5601000.0,,,8832000.0,-593000.0,-3323000.0,7581000.0,-170788000.0,231000.0,,231000.0,-3565000.0,-173891000.0,-12500000.0,52559000.0,,-1755000.0,139980000.0,178284000.0,,11974000.0,12915000.0,941000.0,-163207000.0
2018,49217000.0,17449000.0,31768000.0,0.6455,,6032000.0,,6032000.0,26788000.0,32820000.0,50269000.0,,14252000.0,25484000.0,21020000.0,0.4271,-1052000.0,-0.0214,-20123000.0,-21175000.0,-0.4302,,-18716000.0,-0.3803,-3.88,-3.88,4821876.0,4821876.0,5394000,,5394000,,,9567000.0,14961000,,,37940000.0,37940000.0,,,417262000.0,455202000.0,,470163000,21996000.0,,,,,21996000.0,317180000.0,,,7067000.0,324247000.0,,,346243000.0,121060000.0,49000,-137983000,,126327000,109453000,455696000.0,14467000.0,470163000,-18716000.0,25484000.0,,805000.0,4270000.0,,,5717000.0,-1208000.0,3024000.0,14867000.0,,,,,-141923000.0,-141923000.0,-191596000.0,17843000.0,-5054000.0,-11083000.0,312744000.0,122854000.0,,-4202000.0,14961000.0,19163000.0,14867000.0
2019,75290000.0,27237000.0,48053000.0,0.6382,,7481000.0,,7481000.0,37381000.0,44862000.0,72099000.0,,13918000.0,35893000.0,39391000.0,0.5232,3191000.0,0.0424,-15129000.0,-11938000.0,-0.1586,,-10420000.0,-0.1384,-1.23,-1.23,8503375.0,8503375.0,10465000,,10465000,,,11933000.0,22398000,,,57088000.0,57088000.0,,,605995000.0,663083000.0,,685481000,36284000.0,,,,,36284000.0,397458000.0,,,8314000.0,405772000.0,,,442056000.0,128661000.0,141000,-148403000,,256259000,236658000,678714000.0,6767000.0,685481000,-10420000.0,35893000.0,,1205000.0,2642000.0,,,10371000.0,-2005000.0,-1603000.0,27717000.0,,,,,-200467000.0,-200467000.0,-155380000.0,153518000.0,,-19930000.0,201979000.0,180187000.0,,7437000.0,22398000.0,14961000.0,27717000.0
2020,109851000.0,38159000.0,71692000.0,0.6526,,10362000.0,,10362000.0,56428000.0,66790000.0,104949000.0,,17464000.0,54353000.0,58004000.0,0.528,4902000.0,0.0446,-19364000.0,-14462000.0,-0.1317,,-13813000.0,-0.1257,-0.75,-0.75,18381700.0,18381700.0,15668000,,15668000,,,16386000.0,32054000,,,66116000.0,66116000.0,6683000.0,,815417000.0,888216000.0,,920270000,49335000.0,428162000.0,,,-428162000.0,49335000.0,518162000.0,,,13557000.0,531719000.0,,2207000.0,581054000.0,135694000.0,253000,-162250000,,360752000,334449000,915503000.0,4767000.0,920270000,-13813000.0,54353000.0,,1439000.0,478000.0,,,12330000.0,-2238000.0,-712000.0,41745000.0,,-6702000.0,,,-252416000.0,-259118000.0,-206566000.0,135155000.0,-416000.0,-25709000.0,324565000.0,227029000.0,,9656000.0,32054000.0,22398000.0,41745000.0
