,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2001,210314000,187646000,22668000,0.1078,,,,13370000.0,1744000.0,15114000.0,202760000,887000.0,11048000,,7572000,0.036,7554000,0.0359,-10863000,-3309000,-0.0157,,-3476000,-0.0165,-0.47,-0.47,7432700,7432700,25033000.0,,25033000.0,,,,,,,,,,,,,148702000.0,148702000.0,,,,,,,,,,,,145542000.0,,145542000.0,,,,,3160000.0,3160000.0,148702000.0,,148702000.0,-3476000.0,,,,,,,,,3476000.0,,,,,,,,,,,,,,,,,,
2002,225497000,212589000,12908000,0.0572,,,,,,,212589000,162000.0,11771000,,-410000,-0.0018,130000,0.0006,-12311000,-12181000,-0.054,-3554000.0,-8627000,-0.0383,-1.41,-1.41,6875000,6875000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,244349000,225216000,19133000,0.0783,,,,14318000.0,,14318000.0,239534000,128000.0,12704000,8000000.0,11966000,0.049,4815000,0.0197,-13553000,-8738000,-0.0358,-1318000.0,-7420000,-0.0304,-1.23,-1.23,6875000,6875000,20008000.0,,20008000.0,1889000.0,28570000.0,8627000.0,59094000.0,29043000.0,,28964000.0,28964000.0,,9878000.0,13073000.0,80958000.0,,140052000.0,24660000.0,,,,28880000.0,53540000.0,44578000.0,,,61644000.0,106222000.0,,,159762000.0,,,-15012000.0,-29228000.0,24530000.0,-19710000.0,140052000.0,,140052000.0,-7420000.0,8000000.0,-657000.0,,-1713000.0,,-1124000.0,,5554000.0,12584000.0,10794000.0,-369000.0,,,,,-369000.0,,,,,-10142000.0,-10142000.0,,283000.0,20008000.0,19725000.0,10425000.0
2004,482180000,468309000,13871000,0.0288,,,,23501000.0,9159000.0,32660000.0,500969000,282000.0,13856000,7810000.0,-11156000,-0.0231,-18789000,-0.039,-14033000,-32822000,-0.0681,-7962000.0,-24860000,-0.0516,-3.76,-3.76,6888750,6888750,11213000.0,,11213000.0,4136000.0,73218000.0,12702000.0,101269000.0,24199000.0,,35158000.0,35158000.0,,15834000.0,14683000.0,89874000.0,,191143000.0,69631000.0,,,,28342000.0,97973000.0,48858000.0,,,81401000.0,130259000.0,,,228232000.0,,,-40934000.0,-35009000.0,38854000.0,-37089000.0,191143000.0,,191143000.0,-24860000.0,7810000.0,-7962000.0,,-8289000.0,,-44648000.0,,3296000.0,31484000.0,-1817000.0,-2215000.0,,,,,-2215000.0,,,,,-4763000.0,-4763000.0,,-8795000.0,11213000.0,20008000.0,-4032000.0
2005,927187000,820638000,106549000,0.1149,,28091000.0,,28091000.0,370000.0,28461000.0,849099000,1225000.0,11082000,8147000.0,86684000,0.0935,78088000,0.0842,-10633000,67455000,0.0728,21762000.0,45693000,0.0493,4.08,4.04,11135440,11234075,61737000.0,,61737000.0,3854000.0,75089000.0,13443000.0,154123000.0,23889000.0,,34355000.0,34355000.0,,12227000.0,688000.0,71159000.0,,225282000.0,59514000.0,70000.0,,,39187000.0,98771000.0,154000.0,,,34158000.0,34312000.0,,,133083000.0,,126000.0,3697000.0,-6000000.0,94376000.0,92199000.0,225282000.0,,225282000.0,45693000.0,8147000.0,4817000.0,,-4438000.0,,-1871000.0,,55352000.0,11595000.0,65814000.0,-7520000.0,,,,12955000.0,5435000.0,,87320000.0,-13000000.0,-751000.0,-94294000.0,-20725000.0,,50524000.0,61737000.0,11213000.0,58294000.0
2006,1444800000,1211349000,233451000,0.1616,,34390000.0,,34390000.0,,34390000.0,1245739000,5860000.0,352000,5442000.0,210057000,0.1454,199061000,0.1378,5202000,204263000,0.1414,75530000.0,128733000,0.0891,10.23,10.07,12586889,12785015,212026000.0,,212026000.0,11369000.0,106643000.0,13507000.0,343545000.0,25905000.0,21521000.0,5673000.0,27194000.0,,22955000.0,382000.0,76436000.0,,419981000.0,103038000.0,,,,53950000.0,156988000.0,93000.0,,,59031000.0,59124000.0,,,216112000.0,,127000.0,130535000.0,-27000000.0,100207000.0,203869000.0,419981000.0,,419981000.0,128733000.0,5442000.0,2568000.0,,15024000.0,,-31554000.0,,-6544000.0,2389000.0,154156000.0,-6903000.0,,,,1082000.0,-5821000.0,,2089000.0,,-1895000.0,1760000.0,1954000.0,,150289000.0,212026000.0,61737000.0,147253000.0
2007,817025000,713661000,103364000,0.1265,,38914000.0,,38914000.0,30836000.0,69750000.0,783411000,8349000.0,420000,3910000.0,45641000,0.0559,33614000,0.0411,7697000,41311000,0.0506,14843000.0,26468000,0.0324,2.18,2.17,12115712,12188901,197042000.0,,197042000.0,13068000.0,49845000.0,20742000.0,280697000.0,26921000.0,21521000.0,,21521000.0,,21035000.0,5710000.0,75187000.0,,355884000.0,39525000.0,,,,55995000.0,95520000.0,,,,62292000.0,62292000.0,,,157812000.0,,127000.0,152129000.0,-10000000.0,55816000.0,198072000.0,355884000.0,,355884000.0,26468000.0,3910000.0,-11911000.0,,-12869000.0,,54875000.0,,-10935000.0,35800000.0,41398000.0,-6073000.0,,,,11000.0,-6062000.0,,2089000.0,-50000000.0,-2938000.0,529000.0,-50320000.0,,-14984000.0,197042000.0,212026000.0,35325000.0
2008,746390000,690721000,55669000,0.0746,,31717000.0,,31717000.0,20037000.0,51754000.0,742475000,3827000.0,396000,4380000.0,11841000,0.0159,3915000,0.0052,3150000,7065000,0.0095,2451000.0,4614000,0.0062,0.39,0.39,11788400,11833132,129192000.0,,129192000.0,73120000.0,31644000.0,39427000.0,273383000.0,30582000.0,21521000.0,,21521000.0,,23213000.0,40455000.0,115771000.0,,389154000.0,60986000.0,,,,41676000.0,102662000.0,,,,89463000.0,89463000.0,,,192125000.0,,127000.0,153890000.0,-16000000.0,58911000.0,196928000.0,389053000.0,101000.0,389154000.0,4614000.0,4380000.0,-1065000.0,,-54236000.0,,18193000.0,,-20352000.0,23478000.0,-22829000.0,-6991000.0,,,,-35419000.0,-42410000.0,,1045000.0,,-2854000.0,-802000.0,-2611000.0,,-67850000.0,129192000.0,197042000.0,-29820000.0
2009,248462000,211940000,36522000,0.147,,31316000.0,,31316000.0,-495000.0,30821000.0,242761000,124000.0,523000,5658000.0,11369000,0.0458,5701000,0.0229,-669000,5032000,0.0203,248000.0,4940000,0.0199,0.42,0.42,11861366,11870350,98015000.0,29976000.0,127991000.0,3728000.0,40800000.0,30880000.0,203399000.0,86941000.0,21521000.0,,21521000.0,,13404000.0,10301000.0,132167000.0,,335566000.0,16948000.0,,,,32396000.0,49344000.0,,,,79969000.0,79969000.0,,,129313000.0,,127000.0,163761000.0,-19000000.0,61278000.0,206166000.0,335479000.0,87000.0,335566000.0,4940000.0,5658000.0,11830000.0,1829000.0,-5468000.0,69392000.0,-18314000.0,-29910000.0,-3703000.0,4075000.0,22864000.0,-19920000.0,,-49933000.0,19986000.0,-1417000.0,-51284000.0,-28000.0,,,-2866000.0,137000.0,-2757000.0,,-31177000.0,98015000.0,129192000.0,2944000.0
2010,142889000,140167000,2722000,0.019,,25017000.0,,25017000.0,-798000.0,24219000.0,164386000,89000.0,965000,7015000.0,-14302000,-0.1001,-21497000,-0.1504,-876000,-22373000,-0.1566,-9511000.0,-12771000,-0.0894,-1.07,-1.07,11896148,11896148,61780000.0,,61780000.0,4106000.0,57713000.0,26877000.0,150476000.0,99228000.0,22052000.0,,22052000.0,,26203000.0,12684000.0,160167000.0,,310643000.0,12882000.0,,,,25799000.0,38681000.0,,,,79382000.0,79382000.0,,,118063000.0,,127000.0,150274000.0,-20000000.0,62183000.0,192584000.0,310647000.0,-4000.0,310643000.0,-12771000.0,7015000.0,-7738000.0,1675000.0,-28352000.0,3320000.0,-13482000.0,-5102000.0,-7150000.0,-1900000.0,-42071000.0,-1431000.0,-23319000.0,-29982000.0,59996000.0,1644000.0,6908000.0,,,,-716000.0,-356000.0,-1072000.0,,-36235000.0,61780000.0,98015000.0,-43502000.0
