,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate
1998,191066000000,146753000000,44313000000,0.2319,,19897000000,6827000000.0,26724000000,11159000000,37883000000,184636000000,,8416000000,,6817000000,0.0357,6430000000,0.0337,-7712000000,-1282000000,-0.0067,-1636000000,37000000,0.0002,0.03,0.03,1127131707,1127131707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1148
1999,231694000000,175259000000,56435000000,0.2436,,22964000000,6925000000.0,29889000000,11768000000,41657000000,216916000000,,8085000000,,14916000000,0.0644,14778000000,0.0638,-6446000000,8332000000,0.036,1166000000,5665000000,0.0245,5.03,5.03,1127131707,1127131707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1148
2000,323960000000,249234000000,74726000000,0.2307,,17172000000,11583000000.0,28755000000,14984000000,43739000000,292973000000,820000000.0,6529000000,24286000000.0,54923000000,0.1695,30987000000,0.0957,-5050000000,25937000000,0.0801,7954000000,16154000000,0.0499,14.33,14.33,1127131707,1127131707,41134000000.0,,41134000000.0,35465000000.0,49761000000.0,5265000000.0,131625000000.0,201854000000.0,,1049000000.0,1049000000.0,5235000000.0,1155000000.0,,209293000000.0,,340918000000.0,19403000000.0,50654000000.0,,2456000000.0,55640000000.0,128153000000.0,68674000000.0,,427000000.0,-428000000.0,68673000000.0,,,196826000000.0,,83902000000.0,6212000000.0,-148391562600.0,179070562600.0,120793000000.0,317619000000.0,23299000000.0,340918000000.0,16154000000.0,24286000000.0,-891000000.0,,-11430000000.0,-11657000000.0,-22214000000.0,22441000000.0,,6353000000.0,34472000000.0,-43090000000.0,,-1546000000.0,86000000.0,-15937000000.0,-60487000000.0,-121104000000.0,25802000000.0,,-9282000000.0,128564000000.0,23980000000.0,1000000.0,-2034000000.0,19304000000.0,21338000000.0,-8618000000.0,0.1148
2001,305882000000,236135000000,69747000000,0.228,,14369000000,12300000000.0,26669000000,15638000000,42307000000,278442000000,1183000000.0,5150000000,24919000000.0,51179000000,0.1673,27440000000,0.0897,-5789000000,21651000000,0.0708,7092000000,14018000000,0.0458,14.62,14.62,1107184000,1107184000,22854000000.0,,22854000000.0,34442000000.0,45448000000.0,4021000000.0,106765000000.0,239882000000.0,,3977000000.0,3977000000.0,8910000000.0,760000000.0,,253529000000.0,,360294000000.0,16793000000.0,37915000000.0,,2884000000.0,71769000000.0,129361000000.0,67001000000.0,,679000000.0,806000000.0,68486000000.0,,,197847000000.0,,86702000000.0,10006000000.0,-170660897280.0,212991897280.0,139039000000.0,336886000000.0,23408000000.0,360294000000.0,14018000000.0,24919000000.0,647000000.0,,16410000000.0,2144000000.0,4596000000.0,9670000000.0,,3698000000.0,59692000000.0,-56300000000.0,,-3779000000.0,307000000.0,15804000000.0,-43968000000.0,-272410000000.0,12170000000.0,,-11769000000.0,258011000000.0,-13998000000.0,-7000000.0,1719000000.0,21023000000.0,19304000000.0,3392000000.0,0.1148
2002,325073000000,251182000000,73891000000,0.2273,,17253000000,13279000000.0,30532000000,16215000000,46747000000,297929000000,338000000.0,4400000000,26613000000.0,51943000000,0.1598,27144000000,0.0835,-5132000000,22012000000,0.0677,6809000000,14121000000,0.0434,14.62,14.62,1127126000,1127126000,18712000000.0,,18712000000.0,32171000000.0,44932000000.0,3193000000.0,99008000000.0,253923000000.0,,4062000000.0,4062000000.0,11025000000.0,357000000.0,,269367000000.0,,368375000000.0,19212000000.0,26979000000.0,4434000000.0,3767000000.0,71167000000.0,121125000000.0,75208000000.0,,474000000.0,944000000.0,76626000000.0,,,197751000000.0,,86702000000.0,7367000000.0,15858000000.0,36588000000.0,146515000000.0,344266000000.0,24109000000.0,368375000000.0,14121000000.0,26613000000.0,198000000.0,,11630000000.0,2530000000.0,482000000.0,8618000000.0,,7507000000.0,60069000000.0,-43066000000.0,,-2357000000.0,428000000.0,1750000000.0,-43245000000.0,-258343000000.0,230000000.0,,-14262000000.0,252220000000.0,-20155000000.0,7000000.0,-3324000000.0,17699000000.0,21023000000.0,17003000000.0,0.1208
2003,418047000000,323104000000,94943000000,0.2271,,21219000000,14582000000.0,35801000000,19504000000,55305000000,378409000000,305000000.0,4148000000,27671000000.0,60191000000,0.144,39638000000,0.0948,-9623000000,30015000000,0.0718,9361000000,19011000000,0.0455,19.23,19.23,1127126000,1130314035,17405000000.0,,17405000000.0,30694000000.0,44915000000.0,3904000000.0,96918000000.0,275732000000.0,,4564000000.0,4564000000.0,11150000000.0,1752000000.0,97000000.0,293295000000.0,,390213000000.0,22704000000.0,20904000000.0,8223000000.0,5908000000.0,71276000000.0,120792000000.0,79221000000.0,,289000000.0,888000000.0,80398000000.0,,,201190000000.0,,86702000000.0,19975000000.0,19417000000.0,36852000000.0,162946000000.0,364136000000.0,26077000000.0,390213000000.0,19011000000.0,27671000000.0,-1580000000.0,,4695000000.0,-866000000.0,676000000.0,4885000000.0,,14651000000.0,64448000000.0,-43966000000.0,,-1545000000.0,549000000.0,-4598000000.0,-49560000000.0,-235175000000.0,580000000.0,,-12520000000.0,229744000000.0,-17371000000.0,5000000.0,-2478000000.0,15221000000.0,17699000000.0,20482000000.0,0.1208
2004,591734000000,459207000000,132527000000,0.224,,23167000000,19477000000.0,42644000000,22599000000,65243000000,524450000000,359000000.0,4582000000,31242000000.0,84159000000,0.1422,67284000000,0.1137,-13749000000,53535000000,0.0905,16060000000,32275000000,0.0545,32.31,32.31,1127126000,1127126000,18280000000.0,,18280000000.0,30030000000.0,63918000000.0,4828000000.0,117056000000.0,316542000000.0,,5345000000.0,5345000000.0,13409000000.0,4166000000.0,3563000000.0,343025000000.0,,460081000000.0,23792000000.0,26723000000.0,8260000000.0,8605000000.0,84790000000.0,143910000000.0,97587000000.0,,198000000.0,820000000.0,98605000000.0,,,242515000000.0,,86702000000.0,37124000000.0,25403000000.0,37121000000.0,186350000000.0,428865000000.0,31216000000.0,460081000000.0,32275000000.0,31242000000.0,-2439000000.0,,-14261000000.0,-4245000000.0,-16927000000.0,6911000000.0,,23322000000.0,70139000000.0,-66693000000.0,,-1225000000.0,508000000.0,-8728000000.0,-76138000000.0,-377855000000.0,1008000000.0,,-13538000000.0,397543000000.0,7158000000.0,1000000.0,1160000000.0,16381000000.0,15221000000.0,3446000000.0,0.1208
2005,799954000000,668249000000,131705000000,0.1646,,23330000000,22690000000.0,46020000000,23563000000,69583000000,737832000000,382000000.0,6565000000,31831000000.0,96857000000,0.1211,62122000000,0.0777,-640000000,61482000000,0.0769,18903000000,39558000000,0.0495,36.17,36.17,1127126000,1127126000,14747000000.0,,14747000000.0,33162000000.0,88936000000.0,5051000000.0,141896000000.0,349248000000.0,,5924000000.0,5924000000.0,14146000000.0,5701000000.0,3657000000.0,378676000000.0,,520572000000.0,52967000000.0,26045000000.0,7092000000.0,14086000000.0,74694000000.0,167792000000.0,106992000000.0,,5901728500.0,-5119728500.0,107774000000.0,,,275566000000.0,,86702000000.0,58366000000.0,33434000000.0,37121000000.0,215623000000.0,491189000000.0,29383000000.0,520572000000.0,39558000000.0,31831000000.0,-1733000000.0,,969000000.0,-2256000000.0,-25078000000.0,28303000000.0,,14338000000.0,84963000000.0,-65031000000.0,,-4170000000.0,2547000000.0,-9030000000.0,-75684000000.0,-557432000000.0,129000000.0,,-18976000000.0,564386000000.0,-11893000000.0,-22000000.0,-2636000000.0,13745000000.0,16381000000.0,19932000000.0,0.1239
2006,1045548000000,880029000000,165519000000,0.1583,,26491000000,24734000000.0,51225000000,36269000000,87494000000,967523000000,554000000.0,8064000000,34260000000.0,115507000000,0.1105,78025000000,0.0746,-4773000000,73252000000,0.0701,22519000000,50664000000,0.0485,47.65,47.65,1127126000,1127126000,8723000000.0,,8723000000.0,34944000000.0,93041000000.0,5392000000.0,142100000000.0,406683000000.0,14300615000.0,6676000000.0,6676000000.0,27483000000.0,6710000000.0,4898000000.0,452450000000.0,,594550000000.0,52125000000.0,42400000000.0,15079000000.0,19689000000.0,93616000000.0,207830000000.0,109065000000.0,,,795000000.0,109860000000.0,,,317690000000.0,,86702000000.0,92693000000.0,37873000000.0,37607000000.0,254875000000.0,572565000000.0,21985000000.0,594550000000.0,50664000000.0,34260000000.0,-939000000.0,,4659000000.0,-1196000000.0,-3203000000.0,9058000000.0,,13943000000.0,102587000000.0,-76701000000.0,,-3951000000.0,2410000000.0,-21981000000.0,-100223000000.0,-21000000000.0,1255000000.0,,-20097000000.0,31846000000.0,-7996000000.0,-25000000.0,-5657000000.0,8088000000.0,13745000000.0,25886000000.0,0.1281
2007,1204843000000,1012961000000,191882000000,0.1593,,35964000000,22564000000.0,58528000000,34304000000,92832000000,1105793000000,405000000.0,7314000000,43384000000.0,131403000000,0.1091,99050000000,0.0822,-16139000000,82911000000,0.0688,25758000000,54947000000,0.0456,48.46,48.46,1133826984,1133826984,8364000000.0,,8364000000.0,47620000000.0,116049000000.0,9502000000.0,181535000000.0,456556000000.0,15690000000.0,15232000000.0,30922000000.0,31335000000.0,10192000000.0,8032000000.0,537037000000.0,,718572000000.0,93049000000.0,47028000000.0,17562000000.0,25082000000.0,96598000000.0,261757000000.0,120314000000.0,,1492000000.0,8662000000.0,130468000000.0,,,392225000000.0,,86702000000.0,111059000000.0,64797000000.0,38391000000.0,300949000000.0,693174000000.0,25398000000.0,718572000000.0,54947000000.0,43384000000.0,-3119000000.0,,11735000000.0,-12928000000.0,-24323000000.0,48986000000.0,,17303000000.0,124250000000.0,-110638000000.0,,-1581000000.0,4098000000.0,-6651000000.0,-114772000000.0,-800793000000.0,1255000000.0,,-23025000000.0,813782000000.0,-8781000000.0,-64000000.0,635541960.0,7699554320.0,7064012360.0,13612000000.0,0.1369
