,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate
2001,12771200000,,,,,,,,686400000.0,,13922200000,2671200000.0,2047800000,,896800000,0.0702,-1837400000.0,-0.1439,686400000.0,-1151000000,-0.0901,-199400000,-951600000,-0.0745,-3.49,-3.49,330376411,330376411,,,,,,,,,,674800000,674800000,,51400000.0,,,152214400000,152214400000,,,,,,,13900200000.0,866600000.0,,,14766800000.0,157364500000.0,,142597700000.0,,3193000000,6423700000.0,,,9616700000,152214400000.0,,152214400000,-951600000,,,,,,,,,-1479200000,-2430800000.0,-356700000.0,,-41987900000.0,34339400000.0,8222100000.0,216900000,-5980500000,5800000.0,,-305300000.0,7642500000,1362500000,,-844600000,4069000000,4913600000,-2787500000,0.1118
2002,13111800000,,,,,,,,1210900000.0,,14613600000,2599500000.0,1996700000,,492400000,0.0376,-2712700000.0,-0.2069,1210900000.0,-1501800000,-0.1145,-611900000,-892400000,-0.0681,-3.13,-3.13,330568052,330568052,,,,,,,,,,617400000,617400000,140702800000.0,650700000.0,,,148551300000,148551300000,,,,,,,13198900000.0,695800000.0,,,13894700000.0,153910400000.0,,140015700000.0,,3198800000,5335700000.0,,,8534500000,148550200000.0,1100000.0,148551300000,-892400000,,,,,,,,,3050400000,2158000000.0,-240700000.0,,-63903400000.0,54949100000.0,11193800000.0,1998800000,-6471700000,5800000.0,2000000.0,,6194100000,-269800000,,3907600000,7976600000,4069000000,1917300000,0.1443
2003,16016000000,,,,,,,,-1751700000.0,,15056300000,1803900000.0,1311200000,,2270000000,0.1417,2711400000.0,0.1693,-1751700000.0,959700000,0.0599,169200000,789600000,0.0493,2.24,2.24,330820399,330820399,,,,,,,,,,530600000,530600000,148778400000.0,360700000.0,,,156650200000,156650200000,,,,,,,12362400000.0,499700000.0,,,12862100000.0,160116300000.0,,147254200000.0,,3204400000,6190500000.0,,,9394900000,156649100000.0,1100000.0,156650200000,789600000,,,,,,,,,8525700000,9315300000.0,-8400000.0,,-27818700000.0,23607300000.0,-3112000000.0,-7331800000,-2066000000,4500000.0,,-5100000.0,-2019500000,-4086100000,,-2213700000,5762900000,7976600000,9306900000,0.1499
2004,28333700000,,,,,,,,-9814700000.0,,25762200000,658400000.0,298000000,,2867900000,0.1012,4551300000.0,0.1606,-1979800000.0,2571500000,0.0908,218000000,2351900000,0.083,7.17,7.17,324836690,324836690,6957800000.0,,6957800000.0,,,24329000000.0,31286800000.0,762100000.0,,503500000,503500000,144290400000.0,186200000.0,,145742200000.0,322771200000,177029000000,3280800000.0,,,,,,25648600000.0,,,,25648600000.0,,,,,3133200000,7169200000.0,,7200000.0,10309600000,,177029000000.0,177029000000,2351900000,,,,-3915800000.0,,,,,-4640200000,-6204100000.0,,4852000000.0,-2700000.0,2700000.0,14400000.0,4866400000,-1039800000,4200000.0,,-222500000.0,3790700000,2532600000,,1194900000,6957800000,5762900000,-6204100000,0.1648
2005,30096600000,,,,,,,,-11803800000.0,,28633200000,598200000.0,197100000,,1656900000,0.0551,4740200000.0,0.1575,-3276800000.0,1463400000,0.0486,41100000,1418700000,0.0471,4.55,4.55,307815200,307815200,5768700000.0,,5768700000.0,,,55140000000.0,60908700000.0,752100000.0,611900000.0,-103700000,508200000,139419400000.0,290000000.0,,140969700000.0,342848100000,201878400000,14941700000.0,,,,,,28304700000.0,,,,28304700000.0,,,,,3081800000,6007700000.0,,12000000.0,9101500000,,201878400000.0,201878400000,1418700000,,,,-1791800000.0,,,,,-2612700000,-2985800000.0,-34500000.0,250200000.0,-18800000.0,,,196900000,-79500000,700000.0,-1017800000.0,-1823400000.0,4519700000,1599700000,,-1189100000,5768700000,6957800000,-3020300000,0.1482
2006,31313100000,,,,,,,,-13329300000.0,,29728000000,654500000.0,212900000,,1788500000,0.0571,5549400000.0,0.1772,-3964300000.0,1585100000,0.0506,79300000,1496300000,0.0478,5.07,5.07,295197872,295197872,13216000000.0,,13216000000.0,,,65111200000.0,78327200000.0,842800000.0,611900000.0,-71200000,540700000,142840300000.0,207000000.0,,144430800000.0,367188800000,222758000000,18769800000.0,,,,,,32715000000.0,,,,32715000000.0,,,,,3045200000,5817100000.0,,24000000.0,8886300000,,222758000000.0,222758000000,1496300000,,,,693300000.0,,,,,5856200000,8045800000.0,-29200000.0,261700000.0,-74900000.0,,,157600000,-737900000,,-502800000.0,-999300000.0,1483900000,-756100000,,7447300000,13216000000,5768700000,8016600000,0.1604
2007,33397300000,,,,,,,,-2774400000.0,,31368400000,413200000.0,318200000,,2347100000,0.0703,4803300000.0,0.1438,-2774400000.0,2028900000,0.0608,20100000,2008800000,0.0601,7.95,7.95,251500000,251500000,,,,,,370046400000.0,370046400000.0,1103200000.0,,10189700000,10189700000,174600000.0,234900000.0,,11702400000.0,393451200000,381748800000,,,,,,,,,630800000.0,,,362508200000.0,,362508200000.0,,11711700000,7362100000.0,,-77600000.0,18996200000,381504400000.0,244400000.0,381748800000,2008800000,,,,,,,,,1631100000,3639900000.0,-425300000.0,-13825500000.0,,,,-14250800000,-421000000,,-106600000.0,-450600000.0,15925500000,14947300000,,12353000000,25569000000,13216000000,3214600000,0.184
2008,29517000000,,,,,,,,-3025500000.0,,31232800000,512500000.0,915600000,518500000.0,-281700000,-0.0095,1309700000.0,0.0444,-3025500000.0,-1715800000,-0.0581,504900000,-2220700000,-0.0752,-4.97,-4.97,445100000,445100000,6413600000.0,,6413600000.0,,,353456900000.0,359870500000.0,2092500000.0,,7719800000,7719800000,2752800000.0,200800000.0,,12765900000.0,385402300000,372636400000,,,,,9942800000.0,,,,184400000.0,,,356478300000.0,,356478300000.0,,11711100000,4229500000.0,,-122300000.0,15818300000,372296600000.0,339800000.0,372636400000,-2220700000,518500000.0,,,-7245300000.0,,,,,6651300000,-2296200000.0,-106000000.0,-1207600000.0,,,,-1313600000,-4609000000,14200000.0,,,2833100000,-1761700000,,-5380800000,20178900000,25559700000,-2402200000,0.1437
2009,48236000000,,,,,,,,-18755000000.0,,47349000000,559000000.0,670000000,390000000.0,1947000000,0.0404,,,1560000000.0,887000000,0.0184,-47000000,934000000,0.0194,2.08,2.08,446000000,446000000,9664000000.0,,9664000000.0,,,71895000000.0,81559000000.0,209000000.0,,6773000000,6773000000,277405000000.0,213000000.0,,284600000000.0,650759000000,366159000000,,,,,7127000000.0,,7869000000.0,,182000000.0,,8051000000.0,356993000000.0,,348942000000.0,,11714000000,5329000000.0,,,17043000000,365985000000.0,174000000.0,366159000000,934000000,390000000.0,,,,,,,,2032000000,3356000000.0,-127000000.0,-234000000.0,,,,-361000000,-7785000000,10000000.0,,,1641000000,-6134000000,,-3138000000,3609000000,6747000000,3229000000,0.1725
2010,48241000000,,,,,,,,-17807000000.0,,47024000000,571000000.0,648000000,380000000.0,2208000000,0.0458,1608000000.0,0.0333,-391000000.0,1217000000,0.0252,-300000000,1480000000,0.0307,3.3,3.3,446000000,446000000,8390000000.0,,8390000000.0,,,319559000000.0,327949000000.0,1861000000.0,,6840000000,6840000000,53632000000.0,132000000.0,,62465000000.0,452879000000,390414000000,,,,,18341000000.0,,7606000000.0,,169000000.0,,7775000000.0,379772000000.0,,371997000000.0,,11715000000,6530000000.0,,,18245000000,390242000000.0,172000000.0,390414000000,1480000000,380000000.0,,,,,,,,3623000000,5483000000.0,-122000000.0,-113000000.0,,,,-235000000,-4787000000,9000000.0,,,-781000000,-5559000000,,-437000000,3172000000,3609000000,5361000000,0.1716
2011,38225000000,,,,,,,,,,37340000000,569000000.0,681000000,394000000.0,1900000000,0.0497,,,3790000000.0,885000000,0.0232,144000000,681000000,0.0178,1.51,1.51,446200000,446200000,9371000000.0,,9371000000.0,,,69926000000.0,79297000000.0,1932000000.0,,6523000000,6523000000,313632000000.0,58000000.0,,322145000000.0,723587000000,401442000000,,,,,,,307095000000.0,,,,307095000000.0,689760000000.0,,382665000000.0,,11717000000,6929000000.0,,-1000000.0,18645000000,401310000000.0,132000000.0,401442000000,681000000,394000000.0,,,368000000.0,,,,,1932000000,3375000000.0,-124000000.0,-217000000.0,,,,-341000000,-2455000000,17000000.0,,-491000000.0,945000000,-1984000000,,1046000000,4192000000,3146000000,3251000000,0.1671
2012,52314000000,,,,,,,,-21847000000.0,,50757000000,701000000.0,714000000,519000000.0,2789000000,0.0533,1559000000.0,0.0298,,1559000000,0.0298,550000000,1006000000,0.0192,2.25,2.25,446700000,446700000,7411000000.0,,7411000000.0,,,74315000000.0,81726000000.0,2678000000.0,1201000000.0,4901000000,6102000000,329638000000.0,38000000.0,,338456000000.0,758638000000,420182000000,199000000.0,,,,43407000000.0,,25108000000.0,,721000000.0,,25829000000.0,426076000000.0,,400247000000.0,,11718000000,8119000000.0,,,19837000000,420084000000.0,98000000.0,420182000000,1006000000,519000000.0,,-18904000000.0,2117000000.0,,,,,16673000000,1411000000.0,-243000000.0,-121000000.0,,,,-364000000,-6599000000,11000000.0,,-42000000.0,4943000000,-1687000000,-1000000.0,-666000000,3552000000,4218000000,1168000000,0.1798
2013,52815000000,,,,,,,,-21205000000.0,,50624000000,871000000.0,615000000,885000000.0,3685000000,0.0698,2193000000.0,0.0415,1000000.0,2194000000,0.0415,214000000,1971000000,0.0373,4.41,4.41,447100000,447100000,7848000000.0,,7848000000.0,,,67772000000.0,75620000000.0,2964000000.0,964000000.0,5029000000,5993000000,365803000000.0,1000000.0,,374761000000.0,825142000000,450381000000,137000000.0,,,,29052000000.0,,24409000000.0,,833000000.0,,25242000000.0,453110000000.0,,427868000000.0,,11720000000,10705000000.0,,,22425000000,450293000000.0,88000000.0,450381000000,1971000000,885000000.0,,-19252000000.0,11002000000.0,,,,,9339000000,3945000000.0,-260000000.0,407000000.0,,,,147000000,-5992000000,9000000.0,,-26000000.0,2593000000,-3416000000,2000000.0,677000000,4229000000,3552000000,3685000000,0.1647
